name,source,rarity,type,official_price_gp,rule_price,official_anchor_ratio,ml_price,pre_anchor_final_price,anchored_final_price,official_anchor_tier,official_anchor_delta
+3 Adamantine Mace,CallfromtheDeep,very_rare,M|XPHB,505.0,14950.0,29.60396,13975.78,14387.367041,12999.130337,high_disagreement_computed_heavy,-1388.236704
+3 Adamantine Pike,CallfromtheDeep,very_rare,M|XPHB,505.0,14950.0,29.60396,13975.78,14387.367041,12999.130337,high_disagreement_computed_heavy,-1388.236704
+3 Adamantine Trident,CallfromtheDeep,very_rare,M|XPHB,505.0,14950.0,29.60396,13975.78,14387.367041,12999.130337,high_disagreement_computed_heavy,-1388.236704
+3 Adamantine Vaulter's Axe,CallfromtheDeep,very_rare,M,505.0,14950.0,29.60396,13975.78,14387.367041,12999.130337,high_disagreement_computed_heavy,-1388.236704
+3 Adamantine War Pick,CallfromtheDeep,very_rare,M|XPHB,505.0,14950.0,29.60396,13975.78,14387.367041,12999.130337,high_disagreement_computed_heavy,-1388.236704
+3 Adamantine Battleaxe,CallfromtheDeep,very_rare,M|XPHB,510.0,14950.0,29.313725,13975.78,14387.367041,12999.630337,high_disagreement_computed_heavy,-1387.736704
+3 Adamantine Flail,CallfromtheDeep,very_rare,M|XPHB,510.0,14950.0,29.313725,13975.78,14387.367041,12999.630337,high_disagreement_computed_heavy,-1387.736704
+3 Adamantine Lance,CallfromtheDeep,very_rare,M|XPHB,510.0,14950.0,29.313725,13975.78,14387.367041,12999.630337,high_disagreement_computed_heavy,-1387.736704
+3 Adamantine Maul,CallfromtheDeep,very_rare,M|XPHB,510.0,14950.0,29.313725,13975.78,14387.367041,12999.630337,high_disagreement_computed_heavy,-1387.736704
+3 Adamantine Shortsword,CallfromtheDeep,very_rare,M|XPHB,510.0,14950.0,29.313725,13975.78,14387.367041,12999.630337,high_disagreement_computed_heavy,-1387.736704
+3 Adamantine Steel Jaws,CallfromtheDeep,very_rare,M|XPHB,510.0,14950.0,29.313725,13975.78,14387.367041,12999.630337,high_disagreement_computed_heavy,-1387.736704
+3 Adamantine Lom Lom Dagger,CallfromtheDeep,very_rare,M,515.0,14950.0,29.029126,13975.78,14387.367041,13000.130337,high_disagreement_computed_heavy,-1387.236704
+3 Adamantine Longsword,CallfromtheDeep,very_rare,M|XPHB,515.0,14950.0,29.029126,13975.78,14387.367041,13000.130337,high_disagreement_computed_heavy,-1387.236704
+3 Adamantine Morningstar,CallfromtheDeep,very_rare,M|XPHB,515.0,14950.0,29.029126,13975.78,14387.367041,13000.130337,high_disagreement_computed_heavy,-1387.236704
+3 Adamantine Warhammer,CallfromtheDeep,very_rare,M|XPHB,515.0,14950.0,29.029126,13975.78,14387.367041,13000.130337,high_disagreement_computed_heavy,-1387.236704
+3 Adamantine Glaive,CallfromtheDeep,very_rare,M|XPHB,520.0,14950.0,28.75,13975.78,14387.367041,13000.630337,high_disagreement_computed_heavy,-1386.736704
+3 Adamantine Halberd,CallfromtheDeep,very_rare,M|XPHB,520.0,14950.0,28.75,13975.78,14387.367041,13000.630337,high_disagreement_computed_heavy,-1386.736704
+3 Adamantine Rapier,CallfromtheDeep,very_rare,M|XPHB,525.0,14950.0,28.47619,13975.78,14387.367041,13001.130337,high_disagreement_computed_heavy,-1386.236704
+3 Adamantine Scimitar,CallfromtheDeep,very_rare,M|XPHB,525.0,14950.0,28.47619,13975.78,14387.367041,13001.130337,high_disagreement_computed_heavy,-1386.236704
+3 Adamantine Greataxe,CallfromtheDeep,very_rare,M|XPHB,530.0,14950.0,28.207547,13975.78,14387.367041,13001.630337,high_disagreement_computed_heavy,-1385.736704
+3 Adamantine Secret Stone Sword,CallfromtheDeep,very_rare,M,530.0,14950.0,28.207547,13975.78,14387.367041,13001.630337,high_disagreement_computed_heavy,-1385.736704
+3 Adamantine Greatsword,CallfromtheDeep,very_rare,M|XPHB,550.0,14950.0,27.181818,13975.78,14387.367041,13003.630337,high_disagreement_computed_heavy,-1383.736704
+3 Adamantine Double-Bladed Scimitar,CallfromtheDeep,very_rare,M,600.0,14950.0,24.916667,13975.78,14387.367041,13008.630337,high_disagreement_computed_heavy,-1378.736704
+3 Adamantine Drive Shaft,CallfromtheDeep,very_rare,M,600.0,14950.0,24.916667,13975.78,14387.367041,13008.630337,high_disagreement_computed_heavy,-1378.736704
+3 Adamantine Dart,CallfromtheDeep,very_rare,R|XPHB,500.05,14950.0,29.89701,13205.638,14271.845654,12894.666089,high_disagreement_computed_heavy,-1377.179565
+3 Adamantine Sling,CallfromtheDeep,very_rare,R|XPHB,500.1,14950.0,29.894021,13205.638,14271.845654,12894.671089,high_disagreement_computed_heavy,-1377.174565
+3 Adamantine Blowgun,CallfromtheDeep,very_rare,R|XPHB,510.0,14950.0,29.313725,13205.638,14271.845654,12895.661089,high_disagreement_computed_heavy,-1376.184565
+3 Adamantine Nakudama Bubble Rod,CallfromtheDeep,very_rare,R,522.0,14950.0,28.639847,13205.638,14271.845654,12896.861089,high_disagreement_computed_heavy,-1374.984565
+3 Adamantine Light Crossbow,CallfromtheDeep,very_rare,R|XPHB,525.0,14950.0,28.47619,13205.638,14271.845654,12897.161089,high_disagreement_computed_heavy,-1374.684565
+3 Adamantine Shortbow,CallfromtheDeep,very_rare,R|XPHB,525.0,14950.0,28.47619,13205.638,14271.845654,12897.161089,high_disagreement_computed_heavy,-1374.684565
+3 Adamantine Heavy Crossbow,CallfromtheDeep,very_rare,R|XPHB,550.0,14950.0,27.181818,13205.638,14271.845654,12899.661089,high_disagreement_computed_heavy,-1372.184565
+3 Adamantine Longbow,CallfromtheDeep,very_rare,R|XPHB,550.0,14950.0,27.181818,13205.638,14271.845654,12899.661089,high_disagreement_computed_heavy,-1372.184565
+3 Adamantine Hand Crossbow,CallfromtheDeep,very_rare,R|XPHB,575.0,14950.0,26.0,13205.638,14271.845654,12902.161089,high_disagreement_computed_heavy,-1369.684565
Spirit Cleaver,GriffonsSaddlebag2,legendary,M,2.0,11960.0,5980.0,14491.071,13605.196338,12244.876704,high_disagreement_computed_heavy,-1360.319634
+3 Adamantine Punching Dagger,CallfromtheDeep,very_rare,M|XPHB,800.0,14950.0,18.6875,13975.78,14387.367041,13028.630337,high_disagreement_computed_heavy,-1358.736704
+3 Adamantine Returning Club,CallfromtheDeep,very_rare,M|XPHB,800.0,14950.0,18.6875,13975.78,14387.367041,13028.630337,high_disagreement_computed_heavy,-1358.736704
+3 Adamantine Blackpowder Pistol,CallfromtheDeep,very_rare,R|XPHB,700.0,14950.0,21.357143,13205.638,14271.845654,12914.661089,high_disagreement_computed_heavy,-1357.184565
+3 Adamantine Gladiator Net,CallfromtheDeep,very_rare,M|XPHB,850.0,14950.0,17.588235,13975.78,14387.367041,13033.630337,high_disagreement_computed_heavy,-1353.736704
+3 Adamantine Parrying Dagger,CallfromtheDeep,very_rare,M|XPHB,850.0,14950.0,17.588235,13975.78,14387.367041,13033.630337,high_disagreement_computed_heavy,-1353.736704
+3 Adamantine Pistol,CallfromtheDeep,very_rare,R|XPHB,750.0,14950.0,19.933333,13205.638,14271.845654,12919.661089,high_disagreement_computed_heavy,-1352.184565
+3 Adamantine Dragon Pistol,CallfromtheDeep,very_rare,R|XPHB,850.0,14950.0,17.588235,13205.638,14271.845654,12929.661089,high_disagreement_computed_heavy,-1342.184565
+3 Adamantine Catchpole,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Cavalry Flail,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Cavalry Hammer,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Cavalry Pick,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Chakram,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Claymore,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Double Blade,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Double Spear,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Elite Rapier,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Fighting Chain,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
"+3 Adamantine Fighting Chain, Hook",CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
"+3 Adamantine Fighting Chain, Sickle",CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Knightly Lance,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Military Fork,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Polearm,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Sabre,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Sheathed Staff,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Side-handle Baton,CallfromtheDeep,very_rare,M|XPHB,1000.0,14950.0,14.95,13975.78,14387.367041,13048.630337,high_disagreement_computed_heavy,-1338.736704
+3 Adamantine Composite Shortbow,CallfromtheDeep,very_rare,R|XPHB,900.0,14950.0,16.611111,13205.638,14271.845654,12934.661089,high_disagreement_computed_heavy,-1337.184565
+3 Adamantine Blackpowder Rifle,CallfromtheDeep,very_rare,R|XPHB,1000.0,14950.0,14.95,13205.638,14271.845654,12944.661089,high_disagreement_computed_heavy,-1327.184565
"+3 Adamantine Blunderbuss, Hand",CallfromtheDeep,very_rare,R|XPHB,1000.0,14950.0,14.95,13205.638,14271.845654,12944.661089,high_disagreement_computed_heavy,-1327.184565
+3 Adamantine Musket,CallfromtheDeep,very_rare,R|XPHB,1000.0,14950.0,14.95,13205.638,14271.845654,12944.661089,high_disagreement_computed_heavy,-1327.184565
"+3 Adamantine Repeater Crossbow, Hand",CallfromtheDeep,very_rare,R|XPHB,1000.0,14950.0,14.95,13205.638,14271.845654,12944.661089,high_disagreement_computed_heavy,-1327.184565
"+3 Adamantine Fighting Chain, Brutal",CallfromtheDeep,very_rare,M|XPHB,1250.0,14950.0,11.96,13975.78,14387.367041,13073.630337,high_disagreement_computed_heavy,-1313.736704
+3 Adamantine Guardian Poleaxe,CallfromtheDeep,very_rare,M|XPHB,1250.0,14950.0,11.96,13975.78,14387.367041,13073.630337,high_disagreement_computed_heavy,-1313.736704
+3 Adamantine Knightly Sword,CallfromtheDeep,very_rare,M|XPHB,1250.0,14950.0,11.96,13975.78,14387.367041,13073.630337,high_disagreement_computed_heavy,-1313.736704
+3 Adamantine Wrath Axe,CallfromtheDeep,very_rare,M|XPHB,1250.0,14950.0,11.96,13975.78,14387.367041,13073.630337,high_disagreement_computed_heavy,-1313.736704
+3 Adamantine Wrath Maul,CallfromtheDeep,very_rare,M|XPHB,1250.0,14950.0,11.96,13975.78,14387.367041,13073.630337,high_disagreement_computed_heavy,-1313.736704
+3 Adamantine Arbalest,CallfromtheDeep,very_rare,R|XPHB,1250.0,14950.0,11.96,13205.638,14271.845654,12969.661089,high_disagreement_computed_heavy,-1302.184565
+3 Adamantine Blunderbuss,CallfromtheDeep,very_rare,R|XPHB,1250.0,14950.0,11.96,13205.638,14271.845654,12969.661089,high_disagreement_computed_heavy,-1302.184565
+3 Adamantine Composite Longbow,CallfromtheDeep,very_rare,R|XPHB,1250.0,14950.0,11.96,13205.638,14271.845654,12969.661089,high_disagreement_computed_heavy,-1302.184565
+3 Adamantine Dragon Rifle,CallfromtheDeep,very_rare,R|XPHB,1250.0,14950.0,11.96,13205.638,14271.845654,12969.661089,high_disagreement_computed_heavy,-1302.184565
+3 Adamantine Flame Bellows,CallfromtheDeep,very_rare,R|XPHB,1250.0,14950.0,11.96,13205.638,14271.845654,12969.661089,high_disagreement_computed_heavy,-1302.184565
+3 Adamantine Repeater Crossbow,CallfromtheDeep,very_rare,R|XPHB,1250.0,14950.0,11.96,13205.638,14271.845654,12969.661089,high_disagreement_computed_heavy,-1302.184565
+3 Adamantine Repeater Slinger,CallfromtheDeep,very_rare,R|XPHB,1250.0,14950.0,11.96,13205.638,14271.845654,12969.661089,high_disagreement_computed_heavy,-1302.184565
"+3 Adamantine Repeater Crossbow, Heavy",CallfromtheDeep,very_rare,R|XPHB,1500.0,14950.0,9.966667,13205.638,14271.845654,12994.661089,high_disagreement_computed_heavy,-1277.184565
+1 Adamantine Repeater Needler,CallfromtheDeep,uncommon,R|XPHB,1000.0,362.5,0.3625,508.12604,104.166906,872.5,near_agreement_official_heavy,768.333094
"+1 Adamantine Repeater Crossbow, Heavy",CallfromtheDeep,uncommon,R|XPHB,1500.0,615.0,0.41,508.12604,598.968906,1323.0,near_agreement_official_heavy,724.031094
Viper Khopesh,GriffonsSaddlebag2,rare,M,25.0,9250.0,370.0,6112.298,7210.493604,6491.944243,high_disagreement_computed_heavy,-718.54936
+1 Adamantine Arbalest,CallfromtheDeep,uncommon,R|XPHB,1250.0,615.0,0.492,508.12604,598.968906,1123.0,near_agreement_official_heavy,524.031094
+1 Adamantine Blunderbuss,CallfromtheDeep,uncommon,R|XPHB,1250.0,615.0,0.492,508.12604,598.968906,1123.0,near_agreement_official_heavy,524.031094
+1 Adamantine Composite Longbow,CallfromtheDeep,uncommon,R|XPHB,1250.0,615.0,0.492,508.12604,598.968906,1123.0,near_agreement_official_heavy,524.031094
+1 Adamantine Dragon Rifle,CallfromtheDeep,uncommon,R|XPHB,1250.0,615.0,0.492,508.12604,598.968906,1123.0,near_agreement_official_heavy,524.031094
+1 Adamantine Flame Bellows,CallfromtheDeep,uncommon,R|XPHB,1250.0,615.0,0.492,508.12604,598.968906,1123.0,near_agreement_official_heavy,524.031094
+1 Adamantine Repeater Crossbow,CallfromtheDeep,uncommon,R|XPHB,1250.0,615.0,0.492,508.12604,598.968906,1123.0,near_agreement_official_heavy,524.031094
+1 Adamantine Repeater Slinger,CallfromtheDeep,uncommon,R|XPHB,1250.0,615.0,0.492,508.12604,598.968906,1123.0,near_agreement_official_heavy,524.031094
"+1 Adamantine Fighting Chain, Brutal",CallfromtheDeep,uncommon,M|XPHB,1250.0,615.0,0.492,563.0281,607.204211,1123.0,near_agreement_official_heavy,515.795789
+1 Adamantine Guardian Poleaxe,CallfromtheDeep,uncommon,M|XPHB,1250.0,615.0,0.492,563.0281,607.204211,1123.0,near_agreement_official_heavy,515.795789
+1 Adamantine Knightly Sword,CallfromtheDeep,uncommon,M|XPHB,1250.0,615.0,0.492,563.0281,607.204211,1123.0,near_agreement_official_heavy,515.795789
+1 Adamantine Wrath Axe,CallfromtheDeep,uncommon,M|XPHB,1250.0,615.0,0.492,563.0281,607.204211,1123.0,near_agreement_official_heavy,515.795789
+1 Adamantine Wrath Maul,CallfromtheDeep,uncommon,M|XPHB,1250.0,615.0,0.492,563.0281,607.204211,1123.0,near_agreement_official_heavy,515.795789
Zeal,TalDoreiCampaignSettingReborn,unknown,IDG|TalDoreiCampaignSettingReborn,150.0,5251.0,35.006667,67.4427,5251.0,4740.9,high_disagreement_computed_heavy,-510.1
Dagger of Guitar Solos,WDMM,unknown_magic,M,750.0,750.0,1.0,53.787384,297.4618,750.0,near_agreement_official_heavy,452.5382
Travel Wok,ObojimaTallGrass,rare,M,0.3,9285.0,30950.0,919.36993,3847.340457,3462.636411,high_disagreement_computed_heavy,-384.704046
+1 Adamantine Blackpowder Rifle,CallfromtheDeep,uncommon,R|XPHB,1000.0,615.0,0.615,508.12604,598.968906,923.0,near_agreement_official_heavy,324.031094
"+1 Adamantine Blunderbuss, Hand",CallfromtheDeep,uncommon,R|XPHB,1000.0,615.0,0.615,508.12604,598.968906,923.0,near_agreement_official_heavy,324.031094
+1 Adamantine Musket,CallfromtheDeep,uncommon,R|XPHB,1000.0,615.0,0.615,508.12604,598.968906,923.0,near_agreement_official_heavy,324.031094
"+1 Adamantine Repeater Crossbow, Hand",CallfromtheDeep,uncommon,R|XPHB,1000.0,615.0,0.615,508.12604,598.968906,923.0,near_agreement_official_heavy,324.031094
+1 Adamantine Catchpole,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
+1 Adamantine Cavalry Flail,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
+1 Adamantine Cavalry Hammer,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
+1 Adamantine Cavalry Pick,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
+1 Adamantine Chakram,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
+1 Adamantine Claymore,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
+1 Adamantine Double Blade,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
+1 Adamantine Double Spear,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
+1 Adamantine Elite Rapier,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
+1 Adamantine Fighting Chain,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
"+1 Adamantine Fighting Chain, Hook",CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
"+1 Adamantine Fighting Chain, Sickle",CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
+1 Adamantine Knightly Lance,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
+1 Adamantine Military Fork,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
+1 Adamantine Polearm,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
+1 Adamantine Sabre,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
+1 Adamantine Sheathed Staff,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
+1 Adamantine Side-handle Baton,CallfromtheDeep,uncommon,M|XPHB,1000.0,615.0,0.615,563.0281,607.204211,923.0,near_agreement_official_heavy,315.795789
Residuum,TalDoreiCampaignSettingReborn,unknown_magic,TG,500.0,500.0,1.0,40.81281,201.528326,500.0,exact_commodity_official_price,298.471674
+1 Adamantine Composite Shortbow,CallfromtheDeep,uncommon,R|XPHB,900.0,615.0,0.683333,508.12604,598.968906,843.0,near_agreement_official_heavy,244.031094
+1 Adamantine Dragon Pistol,CallfromtheDeep,uncommon,R|XPHB,850.0,615.0,0.723529,508.12604,598.968906,803.0,near_agreement_official_heavy,204.031094
+1 Adamantine Gladiator Net,CallfromtheDeep,uncommon,M|XPHB,850.0,615.0,0.723529,563.0281,607.204211,803.0,near_agreement_official_heavy,195.795789
+1 Adamantine Parrying Dagger,CallfromtheDeep,uncommon,M|XPHB,850.0,615.0,0.723529,563.0281,607.204211,803.0,near_agreement_official_heavy,195.795789
Umbrella of Shielding,ObojimaTallGrass,uncommon,M,0.5,3459.375,6918.75,1014.6301,1870.290833,1683.311749,high_disagreement_computed_heavy,-186.979083
Mechanical Wonder (Domestic),FRAiF,uncommon,,400.0,750.0,1.875,844.4279,811.378146,646.826888,moderate_disagreement_blended,-164.551259
+1 Adamantine Punching Dagger,CallfromtheDeep,uncommon,M|XPHB,800.0,615.0,0.76875,563.0281,607.204211,763.0,near_agreement_official_heavy,155.795789
+1 Adamantine Returning Club,CallfromtheDeep,uncommon,M|XPHB,800.0,615.0,0.76875,563.0281,607.204211,763.0,near_agreement_official_heavy,155.795789
+3 Adamantine Repeater Needler,CallfromtheDeep,very_rare,R|XPHB,1000.0,14950.0,14.95,13205.638,2521.343654,2369.209289,high_disagreement_computed_heavy,-152.134365
+1 Adamantine Pistol,CallfromtheDeep,uncommon,R|XPHB,750.0,615.0,0.82,508.12604,598.968906,723.0,near_agreement_official_heavy,124.031094
Windskiff,FRAiF,rare,,4000.0,4866.0,1.2165,3983.8372,4292.594153,4173.2,near_agreement_official_heavy,-119.394153
