"Name","Source","Type Code","Type","Rarity","Attunement","Price (gp)","Price Formatted","Price Low","Price High","Confidence","Price Source","URL","Notes","Has Reference"
"+1 Firearm Bullet","Dungeon Master's Guide (2024)","A|XPHB","Ammunition","Uncommon","No","34.82","34 gp","27 gp","41 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20firearm%20bullet_xdmg","","True"
"+1 Flail","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","585.85","585 gp","468 gp","703 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20flail_xdmg","","True"
"+1 Glaive","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","664.84","664 gp","531 gp","797 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20glaive_xdmg","","True"
"+1 Greataxe","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","829.67","829 gp","663 gp","995 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20greataxe_xdmg","","True"
"+1 Greatclub","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","701.57","701 gp","561 gp","841 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20greatclub_xdmg","","True"
"+1 Greatsword","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","818.59","818 gp","654 gp","982 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20greatsword_xdmg","","True"
"+1 Halberd","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","664.84","664 gp","531 gp","797 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20halberd_xdmg","","True"
"+1 Half Plate Armor","Dungeon Master's Guide (2024)","MA|XPHB","Medium Armor","Rare","No","1743.37","1,743 gp","1,394 gp","2,092 gp","Medium","Amalgamated (DSA,MSRP)","https://5e.tools/items.html#+1%20half%20plate%20armor_xdmg","","True"
"+1 Hand Crossbow","Dungeon Master's Guide (2024)","R|XPHB","Ranged Weapon","Uncommon","No","461.25","461 gp","369 gp","553 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20hand%20crossbow_xdmg","","True"
"+1 Handaxe","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","432.1","432 gp","345 gp","518 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20handaxe_xdmg","","True"
"+1 Heavy Crossbow","Dungeon Master's Guide (2024)","R|XPHB","Ranged Weapon","Uncommon","No","743.83","743 gp","595 gp","892 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20heavy%20crossbow_xdmg","","True"
"+1 Hide Armor","Dungeon Master's Guide (2024)","MA|XPHB","Medium Armor","Rare","No","1743.37","1,743 gp","1,394 gp","2,092 gp","Medium","Amalgamated (DSA,MSRP)","https://5e.tools/items.html#+1%20hide%20armor_xdmg","","True"
"+1 Hooked Shortspear","Dungeon Master's Guide (2024)","M","Melee Weapon","Uncommon","No","432.1","432 gp","345 gp","518 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20hooked%20shortspear_xdmg","","True"
"+1 Hoopak","Dungeon Master's Guide (2024)","M","Melee Weapon","Uncommon","No","432.1","432 gp","345 gp","518 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20hoopak_xdmg","","True"
"+1 Javelin","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","432.1","432 gp","345 gp","518 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20javelin_xdmg","","True"
"+1 Lance","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","664.84","664 gp","531 gp","797 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20lance_xdmg","","True"
"+1 Leather Armor","Dungeon Master's Guide (2024)","LA|XPHB","Light Armor","Rare","No","1739.0","1,738 gp","1,391 gp","2,086 gp","Medium","Amalgamated (DSA,MSRP)","https://5e.tools/items.html#+1%20leather%20armor_xdmg","","True"
"+1 Light Crossbow","Dungeon Master's Guide (2024)","R|XPHB","Ranged Weapon","Uncommon","No","651.73","651 gp","521 gp","782 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20light%20crossbow_xdmg","","True"
"+1 Light Hammer","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","432.1","432 gp","345 gp","518 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20light%20hammer_xdmg","","True"
"+1 Light Repeating Crossbow","Dungeon Master's Guide (2024)","R","Ranged Weapon","Uncommon","No","651.73","651 gp","521 gp","782 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20light%20repeating%20crossbow_xdmg","","True"
"+1 Longbow","Dungeon Master's Guide (2024)","R|XPHB","Ranged Weapon","Uncommon","No","585.85","585 gp","468 gp","703 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20longbow_xdmg","","True"
"+1 Longsword","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","597.26","597 gp","477 gp","716 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20longsword_xdmg","","True"
"+1 Mace","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","481.93","481 gp","385 gp","578 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20mace_xdmg","","True"
"+1 Master Alchemist's Supplies","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1461.33","1,461 gp","1,169 gp","1,753 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20alchemist's%20supplies_exploringeberron24","","True"
"+1 Master Brewer's Supplies","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1476.69","1,476 gp","1,181 gp","1,772 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20brewer's%20supplies_exploringeberron24","","True"
"+1 Master Calligrapher's Supplies","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1400.0","1,400 gp","1,120 gp","1,680 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20calligrapher's%20supplies_exploringeberron24","","True"
"+1 Master Carpenter's Tools","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1423.79","1,423 gp","1,139 gp","1,708 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20carpenter's%20tools_exploringeberron24","","True"
"+1 Master Cartographer's Tools","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1423.79","1,423 gp","1,139 gp","1,708 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20cartographer's%20tools_exploringeberron24","","True"
"+1 Master Cobbler's Tools","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1400.0","1,400 gp","1,120 gp","1,680 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20cobbler's%20tools_exploringeberron24","","True"
"+1 Master Cook's Utensils","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1461.33","1,461 gp","1,169 gp","1,753 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20cook's%20utensils_exploringeberron24","","True"
"+1 Master Glassblower's Tools","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1400.0","1,400 gp","1,120 gp","1,680 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20glassblower's%20tools_exploringeberron24","","True"
"+1 Master Jeweler's Tools","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1280.44","1,280 gp","1,024 gp","1,536 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20jeweler's%20tools_exploringeberron24","","True"
"+1 Master Leatherworker's Tools","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1400.0","1,400 gp","1,120 gp","1,680 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20leatherworker's%20tools_exploringeberron24","","True"
"+1 Master Mason's Tools","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1461.33","1,461 gp","1,169 gp","1,753 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20mason's%20tools_exploringeberron24","","True"
"+1 Master Painter's Supplies","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1400.0","1,400 gp","1,120 gp","1,680 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20painter's%20supplies_exploringeberron24","","True"
"+1 Master Potter's Tools","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1333.35","1,333 gp","1,066 gp","1,600 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20potter's%20tools_exploringeberron24","","True"
"+1 Master Smith's Tools","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1461.33","1,461 gp","1,169 gp","1,753 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20smith's%20tools_exploringeberron24","","True"
"+1 Master Tinker's Tools","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1490.44","1,490 gp","1,192 gp","1,788 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20tinker's%20tools_exploringeberron24","","True"
"+1 Master Weaver's Tools","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1400.0","1,400 gp","1,120 gp","1,680 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20weaver's%20tools_exploringeberron24","","True"
"+1 Master Woodcarver's Tools","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1400.0","1,400 gp","1,120 gp","1,680 gp","Low","Algorithm","https://5e.tools/items.html#+1%20master%20woodcarver's%20tools_exploringeberron24","","True"
"+1 Maul","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","855.32","855 gp","684 gp","1,026 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20maul_xdmg","","True"
"+1 Moon Sickle","Tasha's Cauldron of Everything","M","Melee Weapon","Uncommon","Yes","3877.65","3,877 gp","3,102 gp","4,653 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20moon%20sickle_tce","⚠️","True"
"+1 Morningstar","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","635.68","635 gp","508 gp","762 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20morningstar_xdmg","","True"
"+1 Musket","Dungeon Master's Guide (2024)","R|XPHB","Ranged Weapon","Uncommon","No","855.32","855 gp","684 gp","1,026 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20musket_xdmg","","True"
"+1 Needle","Dungeon Master's Guide (2024)","A|XPHB","Ammunition","Uncommon","No","34.82","34 gp","27 gp","41 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20needle_xdmg","","True"
"+1 Padded Armor","Dungeon Master's Guide (2024)","LA|XPHB","Light Armor","Rare","No","1739.0","1,738 gp","1,391 gp","2,086 gp","Medium","Amalgamated (DSA,MSRP)","https://5e.tools/items.html#+1%20padded%20armor_xdmg","","True"
"+1 Pike","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","743.83","743 gp","595 gp","892 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20pike_xdmg","","True"
"+1 Pistol","Dungeon Master's Guide (2024)","R|XPHB","Ranged Weapon","Uncommon","No","593.87","593 gp","475 gp","712 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20pistol_xdmg","","True"
"+1 Plate Armor","Dungeon Master's Guide (2024)","HA|XPHB","Heavy Armor","Rare","No","1796.7","1,796 gp","1,437 gp","2,156 gp","Medium","Amalgamated (DSA,MSRP)","https://5e.tools/items.html#+1%20plate%20armor_xdmg","","True"
"+1 Quarterstaff","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","481.93","481 gp","385 gp","578 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20quarterstaff_xdmg","","True"
"+1 Rapier","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","585.85","585 gp","468 gp","703 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20rapier_xdmg","","True"
"+1 Rhythm-Maker's Drum","Tasha's Cauldron of Everything","INS","Musical Instrument","Uncommon","Yes","2485.79","2,485 gp","1,988 gp","2,982 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20rhythm-maker's%20drum_tce","⚠️","True"
"+1 Ring Mail","Dungeon Master's Guide (2024)","HA|XPHB","Heavy Armor","Rare","No","1796.7","1,796 gp","1,437 gp","2,156 gp","Medium","Amalgamated (DSA,MSRP)","https://5e.tools/items.html#+1%20ring%20mail_xdmg","","True"
"+1 Rod of the Pact Keeper","Dungeon Master's Guide (2024)","RD|XDMG","Rod","Uncommon","Yes","2652.49","2,652 gp","2,121 gp","3,182 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20rod%20of%20the%20pact%20keeper_xdmg","⚠️","True"
"+1 Scale Mail","Dungeon Master's Guide (2024)","MA|XPHB","Medium Armor","Rare","No","1743.37","1,743 gp","1,394 gp","2,092 gp","Medium","Amalgamated (DSA,MSRP)","https://5e.tools/items.html#+1%20scale%20mail_xdmg","","True"
"+1 Scimitar","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","461.25","461 gp","369 gp","553 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20scimitar_xdmg","","True"
"+1 Shield","Dungeon Master's Guide (2024)","S|XPHB","Shield","Uncommon","No","1018.07","1,018 gp","814 gp","1,221 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20shield_xdmg","","True"
"+1 Shortbow","Dungeon Master's Guide (2024)","R|XPHB","Ranged Weapon","Uncommon","No","432.1","432 gp","345 gp","518 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20shortbow_xdmg","","True"
"+1 Shortsword","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","434.49","434 gp","347 gp","521 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20shortsword_xdmg","","True"
"+1 Sickle","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","432.1","432 gp","345 gp","518 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20sickle_xdmg","","True"
"+1 Sling","Dungeon Master's Guide (2024)","R|XPHB","Ranged Weapon","Uncommon","No","461.25","461 gp","369 gp","553 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20sling_xdmg","","True"
"+1 Sling Bullet","Dungeon Master's Guide (2024)","A|XPHB","Ammunition","Uncommon","No","34.82","34 gp","27 gp","41 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20sling%20bullet_xdmg","","True"
"+1 Spear","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","461.25","461 gp","369 gp","553 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20spear_xdmg","","True"
"+1 Splint Armor","Dungeon Master's Guide (2024)","HA|XPHB","Heavy Armor","Rare","No","1796.7","1,796 gp","1,437 gp","2,156 gp","Medium","Amalgamated (DSA,MSRP)","https://5e.tools/items.html#+1%20splint%20armor_xdmg","","True"
"+1 Studded Leather Armor","Dungeon Master's Guide (2024)","LA|XPHB","Light Armor","Rare","No","1739.0","1,738 gp","1,391 gp","2,086 gp","Medium","Amalgamated (DSA,MSRP)","https://5e.tools/items.html#+1%20studded%20leather%20armor_xdmg","","True"
"+1 Tools of the Master","Exploring Eberron (2024)","AT|XPHB","Artisan's Tools","Uncommon","Yes","1383.35","1,383 gp","1,106 gp","1,660 gp","Low","Algorithm","https://5e.tools/items.html#+1%20tools%20of%20the%20master_exploringeberron24","🤖","False"
"+1 Trident","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","635.68","635 gp","508 gp","762 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20trident_xdmg","","True"
"+1 Wand of the War Mage","Dungeon Master's Guide (2024)","WD|XDMG","Wand","Uncommon","Yes","805.92","805 gp","644 gp","967 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20wand%20of%20the%20war%20mage_xdmg","","True"
"+1 War Pick","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","585.85","585 gp","468 gp","703 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20war%20pick_xdmg","","True"
"+1 Warhammer","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","651.73","651 gp","521 gp","782 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20warhammer_xdmg","","True"
"+1 Whip","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Uncommon","No","461.25","461 gp","369 gp","553 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20whip_xdmg","","True"
"+1 Wraps of Unarmed Power","Dungeon Master's Guide (2024)","","Wondrous Item","Uncommon","No","812.48","812 gp","649 gp","974 gp","Low","Single source (DSA)","https://5e.tools/items.html#+1%20wraps%20of%20unarmed%20power_xdmg","","True"
"+1 Yklwa","Dungeon Master's Guide (2024)","M","Melee Weapon","Uncommon","No","597.26","597 gp","477 gp","716 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+1%20yklwa_xdmg","","True"
"+2 All-Purpose Tool","Tasha's Cauldron of Everything","SCF","Spellcasting Focus","Rare","Yes","8727.39","8,727 gp","6,981 gp","10,472 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+2%20all-purpose%20tool_tce","","True"
"+2 Amulet of the Devout","Tasha's Cauldron of Everything","","Wondrous Item","Rare","Yes","8874.94","8,874 gp","7,099 gp","10,649 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+2%20amulet%20of%20the%20devout_tce","","True"
"+2 Arcane Grimoire","Tasha's Cauldron of Everything","SCF","Spellcasting Focus","Rare","Yes","8467.71","8,467 gp","6,774 gp","10,161 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+2%20arcane%20grimoire_tce","","True"
"+2 Arrow","Dungeon Master's Guide (2024)","A|XPHB","Ammunition","Rare","No","126.62","126 gp","101 gp","151 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+2%20arrow_xdmg","","True"
"+2 Battleaxe","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Rare","No","3328.3","3,328 gp","2,662 gp","3,993 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+2%20battleaxe_xdmg","","True"
"+2 Bloodwell Vial","Tasha's Cauldron of Everything","SCF","Spellcasting Focus","Rare","Yes","9485.16","9,485 gp","7,588 gp","11,382 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+2%20bloodwell%20vial_tce","⚠️","True"
"+2 Blowgun","Dungeon Master's Guide (2024)","R|XPHB","Ranged Weapon","Rare","No","2806.41","2,806 gp","2,245 gp","3,367 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+2%20blowgun_xdmg","","True"
"+2 Bolt","Dungeon Master's Guide (2024)","A|XPHB","Ammunition","Rare","No","126.62","126 gp","101 gp","151 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+2%20bolt_xdmg","","True"
"+2 Breastplate","Dungeon Master's Guide (2024)","MA|XPHB","Medium Armor","Very Rare","No","8494.62","8,494 gp","6,795 gp","10,193 gp","Medium","Amalgamated (DSA,MSRP)","https://5e.tools/items.html#+2%20breastplate_xdmg","","True"
"+2 Chain Mail","Dungeon Master's Guide (2024)","HA|XPHB","Heavy Armor","Very Rare","No","8489.87","8,489 gp","6,791 gp","10,187 gp","Medium","Amalgamated (DSA,MSRP)","https://5e.tools/items.html#+2%20chain%20mail_xdmg","","True"
"+2 Chain Shirt","Dungeon Master's Guide (2024)","MA|XPHB","Medium Armor","Very Rare","No","8494.62","8,494 gp","6,795 gp","10,193 gp","Medium","Amalgamated (DSA,MSRP)","https://5e.tools/items.html#+2%20chain%20shirt_xdmg","","True"
"+2 Club","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Rare","No","2262.36","2,262 gp","1,809 gp","2,714 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+2%20club_xdmg","","True"
"+2 Dagger","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Rare","No","2001.41","2,001 gp","1,601 gp","2,401 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+2%20dagger_xdmg","","True"
"+2 Dart","Dungeon Master's Guide (2024)","R|XPHB","Ranged Weapon","Rare","No","1479.53","1,479 gp","1,183 gp","1,775 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+2%20dart_xdmg","","True"
"+2 Double-Bladed Scimitar","Dungeon Master's Guide (2024)","M","Melee Weapon","Rare","No","3480.94","3,480 gp","2,784 gp","4,177 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+2%20double-bladed%20scimitar_xdmg","","True"
"+2 Dragonhide Belt","Fizban's Treasury of Dragons","","Wondrous Item","Rare","Yes","3277.85","3,277 gp","2,622 gp","3,933 gp","Low","Algorithm","https://5e.tools/items.html#+2%20dragonhide%20belt_ftd","🤖","False"
"+2 Fate Dealer's Deck","The Book of Many Things","","Wondrous Item","Very Rare","Yes","18473.21","18,473 gp","14,778 gp","22,167 gp","Low","Algorithm","https://5e.tools/items.html#+2%20fate%20dealer's%20deck_bmt","🤖","False"
"+2 Firearm Bullet","Dungeon Master's Guide (2024)","A|XPHB","Ammunition","Rare","No","126.62","126 gp","101 gp","151 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+2%20firearm%20bullet_xdmg","","True"
"+2 Flail","Dungeon Master's Guide (2024)","M|XPHB","Melee Weapon","Rare","No","3067.36","3,067 gp","2,453 gp","3,680 gp","High","Amalgamated (DSA,MSRP,DMPG)","https://5e.tools/items.html#+2%20flail_xdmg","","True"
