item_name,price_gp,normalized_name,source
+3 Armor,29700.0,armor +3,MSRP
Apparatus of Kwalish,137500.0,apparatus of kwalish,MSRP
Armor of Invulnerability,69300.0,armor of invulnerability,MSRP
"Belt of Giant Strength, Cloud",113400.0,belt of giant strength cloud,MSRP
"Belt of Giant Strength, Storm",141750.0,belt of giant strength storm,MSRP
Blood Fury Tattoo,27000.0,blood fury tattoo,MSRP
Cloak of Invisibility,42000.0,cloak of invisibility,MSRP
Crystal Ball of Mind Reading,36000.0,crystal ball of mind reading,MSRP
Crystal Ball of Telepathy,33300.0,crystal ball of telepathy,MSRP
Crystal Ball of True Seeing,73500.0,crystal ball of true seeing,MSRP
Cubic Gate,60390.0,cubic gate,MSRP
Deck of Many Things,0.0,deck of many things,MSRP
Defender,15000.0,defender,MSRP
Efreeti Chain,81750.0,efreeti chain,MSRP
Enspelled Armor (6th),37800.0,enspelled armor 6th,MSRP
Enspelled Armor (7th),48600.0,enspelled armor 7th,MSRP
Enspelled Armor (8th),60750.0,enspelled armor 8th,MSRP
Enspelled Glaive (8th),60850.0,enspelled glaive 8th,MSRP
Enspelled Plate Armor (8th),68250.0,enspelled plate armor 8th,MSRP
Enspelled Staff (6th),37801.0,enspelled staff 6th,MSRP
Enspelled Staff (7th),48601.0,enspelled staff 7th,MSRP
Enspelled Staff (8th),60751.0,enspelled staff 8th,MSRP
Enspelled Weapon (6th),37800.0,enspelled weapon 6th,MSRP
Enspelled Weapon (7th),48600.0,enspelled weapon 7th,MSRP
Enspelled Weapon (8th),60750.0,enspelled weapon 8th,MSRP
Hammer of Thunderbolts,72545.0,hammer of thunderbolts,MSRP
Holy Avenger,39464.0,holy avenger,MSRP
"Horn of Valhalla, Iron",72600.0,horn of valhalla iron,MSRP
"Instrument of the Bards, Ollamh Harp",72600.0,instrument of the bards ollamh harp,MSRP
"Ioun Stone, Greater Absorption",47250.0,ioun stone greater absorption,MSRP
"Ioun Stone, Mastery",82500.0,ioun stone mastery,MSRP
"Ioun Stone, Regeneration",15000.0,ioun stone regeneration,MSRP
Iron Flask,24750.0,iron flask,MSRP
Luck Blade,37750.0,luck blade,MSRP
Plate Armor of Etherealness,24300.0,plate armor of etherealness,MSRP
"Potion of Giant Strength, Storm",77963.0,potion of giant strength storm,MSRP
Ring of Air Elemental Command,67050.0,ring of air elemental command,MSRP
Ring of Djinni Summoning,33000.0,ring of djinni summoning,MSRP
Ring of Earth Elemental Command,67650.0,ring of earth elemental command,MSRP
Ring of Fire Elemental Command,104400.0,ring of fire elemental command,MSRP
Ring of Invisibility,15000.0,ring of invisibility,MSRP
Ring of Spell Turning,31500.0,ring of spell turning,MSRP
Ring of Three Wishes,27225.0,ring of three wishes,MSRP
Ring of Water Elemental Command,72450.0,ring of water elemental command,MSRP
Robe of the Archmagi,43500.0,robe of the archmagi,MSRP
Rod of Lordly Might,24893.0,rod of lordly might,MSRP
Rod of Resurrection,27150.0,rod of resurrection,MSRP
Scarab of Protection,60300.0,scarab of protection,MSRP
Scroll of Titan Summoning,10890.0,scroll of titan summoning,MSRP
Sovereign Glue,17325.0,sovereign glue,MSRP
"Spell Scroll, 9th",9075.0,spell scroll 9th,MSRP
Sphere of Annihilation,46200.0,sphere of annihilation,MSRP
Staff of the Magi,104250.0,staff of the magi,MSRP
Sword of Answering,30000.0,sword of answering,MSRP
Talisman of Pure Good,65250.0,talisman of pure good,MSRP
Talisman of the Sphere,15000.0,talisman of the sphere,MSRP
Talisman of Ultimate Evil,57000.0,talisman of ultimate evil,MSRP
Tome of the Stilled Tongue,33000.0,tome of the stilled tongue,MSRP
Universal Solvent,4620.0,universal solvent,MSRP
Vorpal Sword,51320.0,vorpal sword,MSRP
Well of Many Worlds,47520.0,well of many worlds,MSRP
+1 Armor,1980.0,armor +1,MSRP
+2 All-Purpose Tool,9040.0,all-purpose tool +2,MSRP
+2 Ammunition,990.0,ammunition +2,MSRP
+2 Amulet of the Devout,9120.0,amulet of the devout +2,MSRP
+2 Arcane Grimoire,9120.0,arcane grimoire +2,MSRP
+2 Bloodwell Vial,10800.0,bloodwell vial +2,MSRP
+2 Moon Sickle,15620.0,moon sickle +2,MSRP
+2 Rhythm-Maker's Drum,9120.0,rhythm-makers drum +2,MSRP
+2 Rod of the Pact Keeper,9120.0,rod of the pact keeper +2,MSRP
+2 Shield,5984.0,shield +2,MSRP
+2 Wand of War Mage,3200.0,wand of war mage +2,MSRP
+2 Weapon,3300.0,weapon +2,MSRP
+2 Wraps of Unarmed Prowess ,3960.0,wraps of unarmed prowess +2,MSRP
Alchemical Compendium,6680.0,alchemical compendium,MSRP
Amulet of Health,12600.0,amulet of health,MSRP
Armor of Resistance,9000.0,armor of resistance,MSRP
"Armor of Resistance, Breastplate",9800.0,armor of resistance breastplate,MSRP
"Armor of Resistance, Chain Shirt",9100.0,armor of resistance chain shirt,MSRP
"Armor of Resistance, Leather",9020.0,armor of resistance leather,MSRP
"Armor of Resistance, Plate",12000.0,armor of resistance plate,MSRP
Armor of Vulnerability,0.0,armor of vulnerability,MSRP
Arrow-Catching Shield,7200.0,arrow-catching shield,MSRP
Astral Shard,6020.0,astral shard,MSRP
Astromancy Archive,5360.0,astromancy archive,MSRP
Atlas of Endless Horizons,6080.0,atlas of endless horizons,MSRP
Bag of Beans,0.0,bag of beans,MSRP
"Barrier Tattoo, AC15+Dex2",3600.0,barrier tattoo ac15+dex2,MSRP
Bead of Force,13933.0,bead of force,MSRP
Bell Branch,1160.0,bell branch,MSRP
Belt of Dwarvenkind,8460.0,belt of dwarvenkind,MSRP
"Belt of Giant Strength, Hill",18900.0,belt of giant strength hill,MSRP
Berserker Axe,0.0,berserker axe,MSRP
Boots of Levitation,3600.0,boots of levitation,MSRP
Boots of Speed,1800.0,boots of speed,MSRP
Bowl of Commanding Water Elementals,7392.0,bowl of commanding water elementals,MSRP
Bracers of Defense,5400.0,bracers of defense,MSRP
Brazier of Commanding Fire Elementals,7392.0,brazier of commanding fire elementals,MSRP
Cape of the Mountebank,3960.0,cape of the mountebank,MSRP
Censer of Controlling Air Elementals,7392.0,censer of controlling air elementals,MSRP
Chime of Opening,4320.0,chime of opening,MSRP
Cloak of Displacement,6000.0,cloak of displacement,MSRP
Cloak of the Bat,15600.0,cloak of the bat,MSRP
Cube of Force,12600.0,cube of force,MSRP
Cube of Summoning,7392.0,cube of summoning,MSRP
Daern's Instant Fortress,18480.0,daerns instant fortress,MSRP
Dagger of Venom,2350.0,dagger of venom,MSRP
Devotee's Censer,1734.0,devotees censer,MSRP
Dimensional Shackles,9900.0,dimensional shackles,MSRP
Dragon Slayer,1886.0,dragon slayer,MSRP
Duplicitious Manuscript,4820.0,duplicitious manuscript,MSRP
"Elemental Essence Shard, Air",3620.0,elemental essence shard air,MSRP
"Elemental Essence Shard, Earth",6020.0,elemental essence shard earth,MSRP
"Elemental Essence Shard, Fire",806.0,elemental essence shard fire,MSRP
"Elemental Essence Shard, Water",1581.0,elemental essence shard water,MSRP
Elixir of Health,396.0,elixir of health,MSRP
Elven Chain,2200.0,elven chain,MSRP
Enspelled Armor (2nd),3240.0,enspelled armor 2nd,MSRP
Enspelled Armor (3rd),5400.0,enspelled armor 3rd,MSRP
Enspelled Staff (2nd),3241.0,enspelled staff 2nd,MSRP
Enspelled Staff (3rd),5401.0,enspelled staff 3rd,MSRP
Enspelled Weapon (2nd),3240.0,enspelled weapon 2nd,MSRP
Enspelled Weapon (3rd),5400.0,enspelled weapon 3rd,MSRP
Far Realm Shard,736.0,far realm shard,MSRP
"Figurine of Wondrous Power, Dog",1584.0,figurine of wondrous power dog,MSRP
"Figurine of Wondrous Power, Elephant",7392.0,figurine of wondrous power elephant,MSRP
"Figurine of Wondrous Power, Fly",1584.0,figurine of wondrous power fly,MSRP
"Figurine of Wondrous Power, Goats",2376.0,figurine of wondrous power goats,MSRP
"Figurine of Wondrous Power, Griffon",3960.0,figurine of wondrous power griffon,MSRP
"Figurine of Wondrous Power, Lions",3300.0,figurine of wondrous power lions,MSRP
"Figurine of Wondrous Power, Owl",1584.0,figurine of wondrous power owl,MSRP
Flame Tongue,1600.0,flame tongue,MSRP
Folding Boat,8800.0,folding boat,MSRP
Fulminating Treatise,5190.0,fulminating treatise,MSRP
Gem of Seeing,10080.0,gem of seeing,MSRP
Giant Slayer,1716.0,giant slayer,MSRP
Glamoured Studded Leather,4158.0,glamoured studded leather,MSRP
Heart Weaver's Primer,5240.0,heart weavers primer,MSRP
Helm of Teleportation,12960.0,helm of teleportation,MSRP
Heward's Handy Haversack,660.0,hewards handy haversack,MSRP
Horn of Blasting,2005.0,horn of blasting,MSRP
"Horn of Valhalla, Brass",21780.0,horn of valhalla brass,MSRP
"Horn of Valhalla, Silver",14520.0,horn of valhalla silver,MSRP
Horseshoes of Speed,3960.0,horseshoes of speed,MSRP
"Instrument of the Bards, Canaith Mandolin",13200.0,instrument of the bards canaith mandolin,MSRP
"Instrument of the Bards, Cli Lyre",15600.0,instrument of the bards cli lyre,MSRP
"Ioun Stone, Awareness",1800.0,ioun stone awareness,MSRP
"Ioun Stone, Protection",1800.0,ioun stone protection,MSRP
"Ioun Stone, Reserve",9000.0,ioun stone reserve,MSRP
"Ioun Stone, Sustenance",1800.0,ioun stone sustenance,MSRP
Iron Bands of Bilarro,1980.0,iron bands of bilarro,MSRP
Libram of Souls and Flesh,5240.0,libram of souls and flesh,MSRP
Lyre of Building,23160.0,lyre of building,MSRP
Mace of Disruption,1880.0,mace of disruption,MSRP
Mace of Smiting,8140.0,mace of smiting,MSRP
Mace of Terror,4200.0,mace of terror,MSRP
Mantle of Spell Resistance,9000.0,mantle of spell resistance,MSRP
Necklace of Fireballs,5940.0,necklace of fireballs,MSRP
"Necklace of Prayer Beads, Blessing Bead",1440.0,necklace of prayer beads blessing bead,MSRP
"Necklace of Prayer Beads, Curing Bead",2400.0,necklace of prayer beads curing bead,MSRP
"Necklace of Prayer Beads, Favor Bead",6720.0,necklace of prayer beads favor bead,MSRP
"Necklace of Prayer Beads, Smiting Bead",2400.0,necklace of prayer beads smiting bead,MSRP
"Necklace of Prayer Beads, Summons Bead",8640.0,necklace of prayer beads summons bead,MSRP
"Necklace of Prayer Beads, Wind Walking Bead",8640.0,necklace of prayer beads wind walking bead,MSRP
Oil of Etherealness,2376.0,oil of etherealness,MSRP
"Outer Essence Shard, Chaotic",6020.0,outer essence shard chaotic,MSRP
"Outer Essence Shard, Evil",734.0,outer essence shard evil,MSRP
"Outer Essence Shard, Good",3620.0,outer essence shard good,MSRP
"Outer Essence Shard, Lawful",12620.0,outer essence shard lawful,MSRP
Periapt of Proof against Poison,6600.0,periapt of proof against poison,MSRP
Planecaller's Codex,5240.0,planecallers codex,MSRP
Portable Hole,3960.0,portable hole,MSRP
Potion of Clairvoyance,990.0,potion of clairvoyance,MSRP
Potion of Diminution,660.0,potion of diminution,MSRP
Potion of Gaseous Form,990.0,potion of gaseous form,MSRP
"Potion of Giant Strength, Fire",11643.0,potion of giant strength fire,MSRP
"Potion of Giant Strength, Frost/Stone",8732.0,potion of giant strength frost/stone,MSRP
Potion of Heroism,792.0,potion of heroism,MSRP
Potion of Invulnerability,3630.0,potion of invulnerability,MSRP
Potion of Mind Reading,660.0,potion of mind reading,MSRP
Potion of Superior Healing,440.0,potion of superior healing,MSRP
Protective Verses,5240.0,protective verses,MSRP
"Quaal's Feather Token, Anchor",2376.0,quaals feather token anchor,MSRP
"Quaal's Feather Token, Bird",3630.0,quaals feather token bird,MSRP
"Quaal's Feather Token, Fan",660.0,quaals feather token fan,MSRP
"Quaal's Feather Token, Swan Boat",660.0,quaals feather token swan boat,MSRP
"Quaal's Feather Token, Tree",660.0,quaals feather token tree,MSRP
"Quaal's Feather Token, Whip",660.0,quaals feather token whip,MSRP
Reveler's Concertina,12120.0,revelers concertina,MSRP
Ring of Animal Influence,4290.0,ring of animal influence,MSRP
Ring of Evasion,7560.0,ring of evasion,MSRP
Ring of Feather Falling,1800.0,ring of feather falling,MSRP
Ring of Free Action,9000.0,ring of free action,MSRP
Ring of Protection,3600.0,ring of protection,MSRP
Ring of Resistance,9000.0,ring of resistance,MSRP
Ring of Spell Storing,12600.0,ring of spell storing,MSRP
Ring of the Ram,708.0,ring of the ram,MSRP
Ring of X-Ray Vision,3600.0,ring of x-ray vision,MSRP
Robe of Eyes,20400.0,robe of eyes,MSRP
Rod of Rulership,6720.0,rod of rulership,MSRP
Rope of Entanglement,198.0,rope of entanglement,MSRP
Scroll of Protection,198.0,scroll of protection,MSRP
Shadowfell Brand Tattoo,6480.0,shadowfell brand tattoo,MSRP
Shadowfell Shard,6020.0,shadowfell shard,MSRP
Shield of Missile Attraction,6000.0,shield of missile attraction,MSRP
"Spell Scroll, 4th",990.0,spell scroll 4th,MSRP
"Spell Scroll, 5th",1386.0,spell scroll 5th,MSRP
"Spellwrought Tattoo, Lv4",1386.0,spellwrought tattoo lv4,MSRP
"Spellwrought Tattoo, Lv5",1848.0,spellwrought tattoo lv5,MSRP
Staff of Charming,7020.0,staff of charming,MSRP
Staff of Healing,6780.0,staff of healing,MSRP
Staff of Swarming Insects,6840.0,staff of swarming insects,MSRP
Staff of the Woodlands,20400.0,staff of the woodlands,MSRP
Staff of Withering,12960.0,staff of withering,MSRP
Stone of Controlling Earth Elementals,7392.0,stone of controlling earth elementals,MSRP
Sun Blade,3886.0,sun blade,MSRP
Sword of Life Stealing,857.0,sword of life stealing,MSRP
Sword of Wounding,1715.0,sword of wounding,MSRP
Tentacle Rod,3228.0,tentacle rod,MSRP
Vicious Weapon,550.0,vicious weapon,MSRP
Wand of Binding,9300.0,wand of binding,MSRP
Wand of Enemy Detection,9000.0,wand of enemy detection,MSRP
Wand of Fear,4320.0,wand of fear,MSRP
Wand of Fireballs,6000.0,wand of fireballs,MSRP
Wand of Lightning Bolts,6000.0,wand of lightning bolts,MSRP
Wand of Paralysis,16800.0,wand of paralysis,MSRP
Wand of Wonder,20400.0,wand of wonder,MSRP
Wings of Flying,6300.0,wings of flying,MSRP
+1 All-Purpose Tool,2580.0,all-purpose tool +1,MSRP
+1 Ammunition,297.0,ammunition +1,MSRP
+1 Amulet of the Devout,2640.0,amulet of the devout +1,MSRP
+1 Arcane Grimoire,2640.0,arcane grimoire +1,MSRP
+1 Bloodwell Vial,3900.0,bloodwell vial +1,MSRP
+1 Moon Sickle,4815.0,moon sickle +1,MSRP
+1 Rhythm-Maker's Drum,2640.0,rhythm-makers drum +1,MSRP
+1 Rod of the Pact Keeper,2640.0,rod of the pact keeper +1,MSRP
+1 Shield,1518.0,shield +1,MSRP
+1 Wand of War Mage,900.0,wand of war mage +1,MSRP
+1 Weapon,825.0,weapon +1,MSRP
+1 Wraps of Unarmed Prowess,1320.0,wraps of unarmed prowess +1,MSRP
Adamantine Ammunition,4950.0,adamantine ammunition,MSRP
Adamantine Arrows (20),4952.0,adamantine arrows 20,MSRP
Adamantine Breastplate,5610.0,adamantine breastplate,MSRP
Adamantine Chain Mail,5074.0,adamantine chain mail,MSRP
Adamantine Chain Shirt,5033.0,adamantine chain shirt,MSRP
Adamantine Half Plate,6188.0,adamantine half plate,MSRP
Adamantine Plate,7425.0,adamantine plate,MSRP
Adamantine Ring Mail,5000.0,adamantine ring mail,MSRP
Adamantine Scale Mail,5033.0,adamantine scale mail,MSRP
Adamantine Splint,5280.0,adamantine splint,MSRP
Adamantine Weapon,5445.0,adamantine weapon,MSRP
Alchemy Jug,4950.0,alchemy jug,MSRP
Amulet of Proof Against Detect and Location,2700.0,amulet of proof against detect and location,MSRP
Baba Yaga's Dancing Broom,2700.0,baba yagas dancing broom,MSRP
Bag of Holding,1485.0,bag of holding,MSRP
Bag of Tricks,4455.0,bag of tricks,MSRP
"Barrier Tattoo, AC12+Dex",1350.0,barrier tattoo ac12+dex,MSRP
Boots of Elvenkind,2970.0,boots of elvenkind,MSRP
Boots of Striding and Springing,1350.0,boots of striding and springing,MSRP
Boots of the Winterlands,4050.0,boots of the winterlands,MSRP
Bracers of Archery,2250.0,bracers of archery,MSRP
Brooch of Shielding,2700.0,brooch of shielding,MSRP
Broom of Flying,4950.0,broom of flying,MSRP
Cap of Water Breathing,4950.0,cap of water breathing,MSRP
Circlet of Blasting,1188.0,circlet of blasting,MSRP
Cloak of Elvenkind,9000.0,cloak of elvenkind,MSRP
Cloak of Protection,2700.0,cloak of protection,MSRP
Cloak of the Manta Ray,9900.0,cloak of the manta ray,MSRP
Coiling Grasp Tattoo,849.0,coiling grasp tattoo,MSRP
Decanter of Endless Water,1570.0,decanter of endless water,MSRP
Deck of Illusions,16200.0,deck of illusions,MSRP
Driftglobe,2475.0,driftglobe,MSRP
Dust of Disappearance,2970.0,dust of disappearance,MSRP
Dust of Dryness,156.0,dust of dryness,MSRP
Dust of Sneezing and Choking,0.0,dust of sneezing and choking,MSRP
Eldritch Claw Tattoo,1371.0,eldritch claw tattoo,MSRP
Elemental Gem,1386.0,elemental gem,MSRP
Enspelled Armor (1st),1215.0,enspelled armor 1st,MSRP
Enspelled Armor (Cantrip),405.0,enspelled armor cantrip,MSRP
Enspelled Leather Armor (Cantrip),420.0,enspelled leather armor cantrip,MSRP
Enspelled Shortsword (Cantrip),420.0,enspelled shortsword cantrip,MSRP
Enspelled Staff (1st),1216.0,enspelled staff 1st,MSRP
Enspelled Staff (Cantrip),406.0,enspelled staff cantrip,MSRP
Enspelled Weapon (1st),1215.0,enspelled weapon 1st,MSRP
Enspelled Weapon (Cantrip),405.0,enspelled weapon cantrip,MSRP
Eversmoking Bottle,2970.0,eversmoking bottle,MSRP
Eyes of Charming,810.0,eyes of charming,MSRP
Eyes of Minute Seeing,4950.0,eyes of minute seeing,MSRP
Eyes of the Eagle,4500.0,eyes of the eagle,MSRP
Feywild Shard,4515.0,feywild shard,MSRP
"Figurine of Wondrous Power, Raven",1188.0,figurine of wondrous power raven,MSRP
Gauntlets of Ogre Power,9450.0,gauntlets of ogre power,MSRP
Gem of Brightness,4851.0,gem of brightness,MSRP
Gloves of Missile Snaring,2700.0,gloves of missile snaring,MSRP
Gloves of Swimming and Climbing,9000.0,gloves of swimming and climbing,MSRP
Gloves of Thievery,4950.0,gloves of thievery,MSRP
Goggles of Night,2970.0,goggles of night,MSRP
Guardian Emblem,825.0,guardian emblem,MSRP
Hag Eye,6930.0,hag eye,MSRP
Hat of Disguise,2700.0,hat of disguise,MSRP
Headband of Intellect,9450.0,headband of intellect,MSRP
Helm of Comprehending Languages,1485.0,helm of comprehending languages,MSRP
Helm of Telepathy,2430.0,helm of telepathy,MSRP
Immovable Rod,7425.0,immovable rod,MSRP
"Instrument of the Bards, Doss Lute",7920.0,instrument of the bards doss lute,MSRP
"Instrument of the Bards, Fochlucan Bandore",6300.0,instrument of the bards fochlucan bandore,MSRP
"Instrument of the Bards, Mac-Fuirmidh Cittern",6660.0,instrument of the bards mac-fuirmidh cittern,MSRP
Javelin of Lightning,1683.0,javelin of lightning,MSRP
Keoghtom's Ointment,1391.0,keoghtoms ointment,MSRP
Lantern of Revealing,4950.0,lantern of revealing,MSRP
Mariner's Armor,2970.0,mariners armor,MSRP
Medallion of Thoughts,1620.0,medallion of thoughts,MSRP
Mithral Breastplate,2310.0,mithral breastplate,MSRP
Mithral Chain Mail,1774.0,mithral chain mail,MSRP
Mithral Chain Shirt,1733.0,mithral chain shirt,MSRP
Mithral Half Plate,2888.0,mithral half plate,MSRP
Mithral Plate,4125.0,mithral plate,MSRP
Mithral Ring Mail,1700.0,mithral ring mail,MSRP
Mithral Scale Mail,1733.0,mithral scale mail,MSRP
Mithral Splint,1980.0,mithral splint,MSRP
Nature's Mantle,2700.0,natures mantle,MSRP
Necklace of Adaption,9000.0,necklace of adaption,MSRP
Oil of Slipperiness,743.0,oil of slipperiness,MSRP
Pearl of Power,2700.0,pearl of power,MSRP
Periapt of Health,2970.0,periapt of health,MSRP
Periapt of Wound Closure,2700.0,periapt of wound closure,MSRP
Philter of Love,1040.0,philter of love,MSRP
Pipes of Haunting,2970.0,pipes of haunting,MSRP
Pipes of the Sewers,1620.0,pipes of the sewers,MSRP
Potion of Animal Friendship,149.0,potion of animal friendship,MSRP
Potion of Fire Breath,297.0,potion of fire breath,MSRP
"Potion of Giant Strength, Hill",3119.0,potion of giant strength hill,MSRP
Potion of Greater Healing,165.0,potion of greater healing,MSRP
Potion of Growth,495.0,potion of growth,MSRP
Potion of Poison,3758.0,potion of poison,MSRP
Potion of Pugilism,248.0,potion of pugilism,MSRP
Potion of Resistance,743.0,potion of resistance,MSRP
Potion of Water Breathing,297.0,potion of water breathing,MSRP
Quiver of Ehlonna,495.0,quiver of ehlonna,MSRP
Ring of Jumping,1350.0,ring of jumping,MSRP
Ring of Mind Shielding,12600.0,ring of mind shielding,MSRP
Ring of Swimming,4950.0,ring of swimming,MSRP
Ring of Warmth,6750.0,ring of warmth,MSRP
Ring of Water Walking,7425.0,ring of water walking,MSRP
Robe of Useful Items,0.0,robe of useful items,MSRP
Rope of Climbing,495.0,rope of climbing,MSRP
Saddle of the Cavalier,4950.0,saddle of the cavalier,MSRP
Sending Stones,1188.0,sending stones,MSRP
Sentinel Shield,2970.0,sentinel shield,MSRP
Slippers of Spider Climbing,4500.0,slippers of spider climbing,MSRP
"Spell Scroll, 2nd",297.0,spell scroll 2nd,MSRP
"Spell Scroll, 3rd",495.0,spell scroll 3rd,MSRP
"Spellwrought Tattoo, Lv2",495.0,spellwrought tattoo lv2,MSRP
"Spellwrought Tattoo, Lv3",743.0,spellwrought tattoo lv3,MSRP
Staff of the Adder,282.0,staff of the adder,MSRP
Staff of the Python,4500.0,staff of the python,MSRP
Stone of Good Luck,2100.0,stone of good luck,MSRP
Sword of Vengeance,750.0,sword of vengeance,MSRP
Trident of Fish Command,4050.0,trident of fish command,MSRP
Wand of Magic Detection,891.0,wand of magic detection,MSRP
Wand of Magic Missiles,1485.0,wand of magic missiles,MSRP
Wand of Secrets,1782.0,wand of secrets,MSRP
Wand of Web,2700.0,wand of web,MSRP
Weapon of Warning,25200.0,weapon of warning,MSRP
Wind Fan,1188.0,wind fan,MSRP
Winged Boots,6750.0,winged boots,MSRP
+2 Armor,8910.0,armor +2,MSRP
+3 All-Purpose Tool,26160.0,all-purpose tool +3,MSRP
+3 Ammunition,2772.0,ammunition +3,MSRP
+3 Amulet of the Devout,26280.0,amulet of the devout +3,MSRP
+3 Arcane Grimoire,26280.0,arcane grimoire +3,MSRP
+3 Bloodwell Vial,28800.0,bloodwell vial +3,MSRP
+3 Moon Sickle,44130.0,moon sickle +3,MSRP
+3 Rhythm-Maker's Drum,26280.0,rhythm-makers drum +3,MSRP
+3 Rod of the Pact Keeper,26280.0,rod of the pact keeper +3,MSRP
+3 Shield,17886.0,shield +3,MSRP
+3 Wand of War Mage,9300.0,wand of war mage +3,MSRP
+3 Weapon,9900.0,weapon +3,MSRP
+3 Wraps of Unarmed Prowess ,10890.0,wraps of unarmed prowess +3,MSRP
Absorbing Tattoo,14580.0,absorbing tattoo,MSRP
Ammunition of Slaying,267.0,ammunition of slaying,MSRP
Amulet of the Planes,32400.0,amulet of the planes,MSRP
Animated Shield,2700.0,animated shield,MSRP
Arrow of Slaying,267.0,arrow of slaying,MSRP
Bag of Devouring,0.0,bag of devouring,MSRP
"Barrier Tattoo, AC18",9000.0,barrier tattoo ac18,MSRP
"Belt of Giant Strength, Fire",52920.0,belt of giant strength fire,MSRP
"Belt of Giant Strength, Stone/Frost",39690.0,belt of giant strength stone/frost,MSRP
Candle of Invocation,28350.0,candle of invocation,MSRP
"Carpet of Flying, 3x5",14850.0,carpet of flying 3x5,MSRP
"Carpet of Flying, 4x6",29700.0,carpet of flying 4x6,MSRP
"Carpet of Flying, 5x7",44550.0,carpet of flying 5x7,MSRP
"Carpet of Flying, 6x9",59400.0,carpet of flying 6x9,MSRP
Cauldron of Rebirth,10860.0,cauldron of rebirth,MSRP
Cloak of Arachnida,12780.0,cloak of arachnida,MSRP
Crystal Ball,18900.0,crystal ball,MSRP
Crystalline Chronicle,10290.0,crystalline chronicle,MSRP
Dancing Sword,5400.0,dancing sword,MSRP
Demon Armor,13200.0,demon armor,MSRP
Dragon Scale Mail,21900.0,dragon scale mail,MSRP
Dwarven Plate,18810.0,dwarven plate,MSRP
Dwarven Thrower,9964.0,dwarven thrower,MSRP
Efreeti Bottle,32670.0,efreeti bottle,MSRP
Energy Bow,12570.0,energy bow,MSRP
