"Name","Source","Type","Rarity","Attunement","Price","Price band","Price Source","Review flag(s)","Prose","Criteria highlights","5e.tools link"
"+3 Hoopak","Dungeon Master's Guide (2024)","Melee Weapon","Very Rare","No","10,159 gp","8,127 gp / 10,159 gp / 12,191 gp","Amalgamated (DSA,MSRP,DMPG)","random","*The *base item* can be found in Dragonlance: Shadow of the Dragon Queen, page 188.*

You have a +3 bonus to attack and damage rolls made with this magic weapon.

A hoopak is a sturdy stick with a sling at one end and a pointed tip at the other.

***Special.*** When you make a melee attack with this weapon, you ignore its ammunition property. You can use the hoopak as a martial ranged weapon. If you do, it uses the ammunition property, uses sling bullets, and deals 1d4 bludgeoning damage on a hit.

***Ammunition.*** You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.

If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way.

***Finesse.*** When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls.

***Two-Handed.*** This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it.","weapon_bonus 3, extra_damage_multiplier 1","https://5e.tools/items.html#+3%20hoopak_xdmg"
"+3 True Name Arbalest","The Illrigger Revised","Ranged Weapon","Legendary","Yes","20,000 gp","16,000 gp / 20,000 gp / 24,000 gp","Amalgamated (DSA,MSRP,DMPG)","random","—","extra_damage_avg 10.5, extra_damage_priced_avg 10.5, weapon_bonus 3, extra_damage_multiplier 1","https://5e.tools/items.html#+3%20true%20name%20arbalest_illriggerrevised"
"+3 True Name Dart","The Illrigger Revised","Ranged Weapon","Legendary","Yes","8,000 gp","6,400 gp / 8,000 gp / 9,600 gp","Amalgamated (DSA,MSRP,DMPG)","final-gate, floor-tripwire","This weapon is ornately decorated with elegant details in brimstone and obsidian. It smells of iron and incense. When you attune to this weapon, you must whisper your true name to it. The name sears across the weapon in Infernal runes, then fades.

The typical True Name, an uncommon item, empowers an illrigger's Baleful Interdict. Whenever you roll an 18, 19, or 20 on your attack roll with this weapon and place a seal on a creature as part of the attack, you can place an additional seal on that creature.

You gain a +3 bonus to attack and damage rolls made using the weapon, and the damage dealt by your seals increases by 3d6. In addition, when you reduce an enemy to 0 hit points, you can choose to regain two seals and gain temporary hit points equal to your illrigger level (no action required). Once you regain seals and gain temporary hit points in this way, you can't do so again until the following dusk.

***Range.*** A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range.

***Finesse.*** When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls.

***Thrown.*** If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon.

***Mastery: Vex.*** If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn.","extra_damage_avg 10.5, extra_damage_priced_avg 10.5, weapon_bonus 3, extra_damage_multiplier 1","https://5e.tools/items.html#+3%20true%20name%20dart_illriggerrevised"
"+3 True Name Repeater Needler","The Illrigger Revised","Ranged Weapon","Legendary","Yes","8,000 gp","6,400 gp / 8,000 gp / 9,600 gp","Amalgamated (DSA,MSRP,DMPG)","floor-tripwire","—","extra_damage_avg 10.5, extra_damage_priced_avg 10.5, weapon_bonus 3, extra_damage_multiplier 1","https://5e.tools/items.html#+3%20true%20name%20repeater%20needler_illriggerrevised"
"+3 Wraps of Unarmed Power","Dungeon Master's Guide (2024)","Wondrous Item","Very Rare","No","11,647 gp","9,318 gp / 11,647 gp / 13,977 gp","Single source (DSA)","random","While wearing these wraps, you have a +3 bonus to attack rolls and damage rolls made with your Unarmed Strikes. Those strikes deal your choice of Force damage or their normal damage type.","weapon_bonus 3, is_wondrous 1, extra_damage_multiplier 1","https://5e.tools/items.html#+3%20wraps%20of%20unarmed%20power_xdmg"
"Adamantine Bar","Waterdeep: Dragon Heist","Trade Goods","Mundane","No","1,000 gp","800 gp / 1,000 gp / 1,200 gp","Official","floor-tripwire","Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).

Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency.","extra_damage_multiplier 1","https://5e.tools/items.html#adamantine%20bar_wdh"
"Adamantine Claymore","Dungeon Master's Guide (2024)","Melee Weapon","Uncommon","No","668 gp","534 gp / 668 gp / 802 gp","Single source (MSRP)","random","*The *base item* can be found in Grim Hollow: Player’s Guide (2024), page 128.*

This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit.

***Heavy.*** You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13.

***Two-Handed.*** A Two-Handed weapon requires two hands when you attack with it.

***Mastery: Brutal.*** A Brutal weapon is designed for maximum damage. Brutal weapons score Critical Hits on a natural roll of 19 or 20. If your Critical Range is already increased, instead increase it by 1 point (such as from 19-20 to 18-20).

When you score a Critical Hit with a Brutal weapon against a creature, the weapon deals one additional die of damage.","extra_damage_multiplier 1","https://5e.tools/items.html#adamantine%20claymore_xdmg"
"Adamantine Lance","Dungeon Master's Guide (2024)","Melee Weapon","Uncommon","No","777 gp","622 gp / 777 gp / 933 gp","Algorithm","random","This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit.

A Lance requires two hands to wield when you aren't mounted.

***Heavy.*** You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13.

***Reach.*** A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it.

***Two-Handed.*** A Two-Handed weapon requires two hands when you attack with it.

***Mastery: Topple.*** If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition.","save_dc 8, extra_damage_multiplier 1","https://5e.tools/items.html#adamantine%20lance_xdmg"
"Adze of Annam","Bigby Presents: Glory of the Giants","Melee Weapon","Artifact","Yes","670,000 gp","536,000 gp / 670,000 gp / 804,000 gp","Algorithm","family-min","This massive adze is said to have been wielded by All-Father Annam, not as a weapon but as the tool he used to shape the various worlds of the Material Plane eons ago.

***Random Properties.*** The adze has the following random properties, determined by rolling on the appropriate table in the Dungeon Master's Guide:

- 2 minor beneficial properties
- 1 major beneficial property
- 2 minor detrimental properties

***Magic Weapon.*** When a creature attunes to the adze, the artifact magically adjusts its size so that creature can wield it as a greataxe. The adze is a magic weapon that grants a +3 bonus to attack and damage rolls made with it. On a hit, the adze deals an additional 3d12 force damage. It also deals double damage to objects and structures.

***Divine Mattock.*** As an action, you can call upon the might of the All-Father and use the adze to cast *move earth* or *fabricate*. Once this property is used, it can't be used again until the next dawn.

***Heavy.*** Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively.

***Two-Handed.*** This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it.","extra_damage_avg 19.5, extra_damage_priced_avg 19.5, weapon_bonus 3, minor_beneficial 2, minor_detrimental 2, extra_damage_multiplier 1","https://5e.tools/items.html#adze%20of%20annam_bgg"
"Akmon, Hammer of Purphoros","Mythic Odysseys of Theros","Melee Weapon","Artifact","Yes","485,000 gp","388,000 gp / 485,000 gp / 582,000 gp","Algorithm","family-min","Purphoros's hammer works wonders and disasters, the god of the forge using it to craft ground-breaking marvels and dangerous inventions in equal measure. Purphoros rarely bestows Akmon on mortals but occasionally leaves it unattended at his forge in Mount Velus. When Purphoros does permit a mortal to use the hammer, it's usually so they might bring an important work into being, wreck a force of destruction, or forge something remarkable somewhere the god isn't welcome.

***Hammer of the Forge.*** This magic warhammer grants a +3 bonus to attack and damage rolls made with it. When you hit with an attack using it, the target takes an extra 3d10 fire damage.

***Blessing of the Forge.*** If you are a worshiper of Purphoros, you gain all the following benefits for which you have the required piety:

- **Piety 10+.** The hammer has 1 randomly determined minor beneficial property.
- **Piety 25+.** The hammer has 1 randomly determined major beneficial property.
- **Piety 50+.** The hammer has 1 additional randomly determined major beneficial property.

If you aren't a worshiper of Purphoros, the hammer has 2 randomly determined minor detrimental properties.

See ""Artifacts"" in chapter 7 of the Dungeon Master's Guide for details on randomly determined properties.

***Reforged.*** While holding the hammer, you have resistance to fire damage and are immune to exhaustion. Additionally, you have proficiency with *smith's tools* and have advantage on all ability checks made using them.

***Spells.*** While the hammer is on your person, you can use an action to cast one of the following spells (save DC 18): *animate objects*, *heat metal*, *fabricate*, *magic weapon*, *mending*, *shatter*. Once you use the hammer to cast a spell, the spell can't be cast again from it until the next dusk.

***Destroying the Hammer.*** To destroy the hammer, it must be taken to the realm of Tizerus, in the Underworld. There it must be coated in clay from the Mire of Punishment. The heat of the hammer hardens the clay, which fuses to it after one month. Once fully hardened, the clay-covered hammer must be swallowed and digested by a kraken.

***Versatile.*** This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.","save_dc 18, extra_damage_avg 16.5, extra_damage_priced_avg 16.5, weapon_bonus 3, minor_detrimental 2, grants_proficiency 1","https://5e.tools/items.html#akmon,%20hammer%20of%20purphoros_mot"
"Alchemist's Fire","Player's Handbook (2024)","Adventuring Gear","Mundane","No","50 gp","40 gp / 50 gp / 60 gp","Official","floor-tripwire","When you take the Attack action, you can replace one of your attacks with throwing a flask of Alchemist's Fire. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 1d4 Fire damage and start burning.","save_dc 8, extra_damage_multiplier 1","https://5e.tools/items.html#alchemist's%20fire_xphb"
"Alchemist's Supplies","Player's Handbook (2024)","Artisan's Tools","Mundane","No","50 gp","40 gp / 50 gp / 60 gp","Official","floor-tripwire","- **Ability:** Intelligence
- **Utilize:** Identify a substance (DC 15), or start a fire (DC 15)
- **Craft:** *Acid*, *Alchemist's Fire*, *Component Pouch*, *Oil*, *Paper*, *Perfume*

Artisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.

If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.","save_dc 15, extra_damage_multiplier 1","https://5e.tools/items.html#alchemist's%20supplies_xphb"
"Animated Inks","The Pugilist Class (2024)","Potion","Varies","Yes","337 gp","270 gp / 337 gp / 405 gp","Algorithm","random","When you drink this potion, a type of creature you are thinking of appears as a tattoo on your skin. You choose the type of creature but its maximum Challenge Rating is determined by the potion's rarity, as shown in the table below. You can take the Magic action to cause the tattoo to animate and move off your body, appearing in an unoccupied space of your choice within 60 feet. For the next 10 minutes, it uses the stat block of the chosen creature. During this time, the creature is Friendly [Attitude] to you and your allies. It understands your languages, obeys your commands, and takes its turn immediately after you on your Initiative count. If you issue no commands, the creature defends itself but takes no other action. At the end of the 10 minutes, or when the creature is reduced to 0 Hit Points, it returns to your body as a tattoo. Once you have used a Magic action to animate this tattoo, it can't be used again until 3 days pass. If you end or lose Attunement to this magic item, the tattoo disappears and all other effects of this potion end. Animated Inks (Uncommon) 1 Animated Inks (Rare) 3 Animated Inks (Very Rare) 7","extra_damage_multiplier 1","https://5e.tools/items.html#animated%20inks_pugilist2024"
"Antitoxin","Player's Handbook (2024)","Adventuring Gear","Mundane","No","50 gp","40 gp / 50 gp / 60 gp","Official","floor-tripwire","As a Bonus Action, you can drink a vial of Antitoxin to gain Advantage on saving throws to avoid or end the Poisoned condition for 1 hour.","extra_damage_multiplier 1","https://5e.tools/items.html#antitoxin_xphb"
"Ardor","Grim Hollow: Player Pack","Melee Weapon","Artifact","Yes","338,200 gp","270,560 gp / 338,200 gp / 405,840 gp","Algorithm","random","The blades of this axe smolder with an inner light. The dark wooden handle is accented with silver. When the celestial realm turned back yet another assault from the forces of evil, a fiendish forge master received a vision, allowing them to craft a battleaxe like no other. With the might of Ardor, the fiends now possess a weapon capable of striking down the celestial forces. Ardor now lies in the fiendish realm's hidden vaults, waiting to be wielded when the forces of darkness make their ultimate strike to consume the world. The fiends don't realize that an equally powerful weapon rests in the hands of the celestials who wage eternal war against them. The fates who inspired the forge master to craft Ardor also sent a vision to a smith of heaven in the interest of maintaining the balance of power. This magic battleaxe grants a +3 bonus to attack and damage rolls made with it. When you hit with an attack using it, the target takes an extra 3d10 necrotic damage. While holding the battleaxe, you are immune to the charmed, frightened, paralyzed, poisoned, and stunned conditions. As a bonus action, you can release Ardor to hover magically in an unoccupied space within 5 feet of you. If you can see the battleaxe, you can mentally command it as a bonus action to fly up to 50 feet and either make one attack against a target or return to your hands. If any effect targets the hovering axe, you are considered to be holding it. The hovering axe falls if the attuned user dies. While the axe is on your person, you can use an action to cast one of the following spells (save DC 18): bane, banishment, bestow curse, branding smite, or incendiary cloud. Once you use the axe to cast a spell, that spell can't be cast again from it until the next dawn. The only thing capable of damaging the battleaxe is its celestial twin Zeal. A creature wielding Zeal can choose to attack Ardor, which has an AC of 21 and 300 hit points. No other creature or object can damage Ardor.","save_dc 18, extra_damage_avg 11, extra_damage_priced_avg 11, weapon_bonus 3, extra_damage_multiplier 1","https://5e.tools/items.html#ardor_grimhollowplayerpack"
"Ascendant Scaled Ornament","Fizban's Treasury of Dragons","Wondrous Item","Legendary","Yes","56,348 gp","45,079 gp / 56,348 gp / 67,618 gp","Algorithm","random","This ornament can be jewelry, a cloak, or another wearable accessory. It appears to be fashioned from a dragon's scale, tooth, or claw, or it incorporates images in those shapes.

You gain a +1 bonus to AC, and you can't be charmed or frightened. Moreover, each creature of your choice within 30 feet of you has advantage on saving throws it makes to avoid being charmed or frightened or to end those conditions on itself.

When you would take damage of the type dealt by the breath of the dragon in whose hoard the ornament became Wakened, you can use your reaction to take no damage instead, and you regain hit points equal to the damage you would have taken. Once this property is used, it can't be used again until the next dawn.

While you are wearing the ornament, you gain a flying speed equal to your walking speed and can hover. While you are flying using this speed, spectral dragon wings appear on your back.","ac_bonus 1, is_wondrous 1, extra_damage_multiplier 1, flight_full 1","https://5e.tools/items.html#ascendant%20scaled%20ornament_ftd"
"Ashyra's Research Notes","Where Evil Lives: The MCDM Book of Boss Battles","Adventuring Gear","Mundane","No","1.0 gp","80 cp / 1.0 gp / 1.2 gp","Algorithm","random","Ashyra's research notes about magic and necromancy are organized and indexed. When you fail an Intelligence (Arcana) check to recall lore, you can spend 1 hour during a short or long rest reviewing the notes and repeat the check. If the check is related to necromancy magic, you have advantage when you reroll it.","extra_damage_multiplier 1","https://5e.tools/items.html#ashyra's%20research%20notes_whereevillives"
"Astral Bracelet of Knowledge","The Griffon's Saddlebag: Book One","Wondrous Item","Very Rare","Yes","17,959 gp","14,367 gp / 17,959 gp / 21,551 gp","Algorithm","random","An Astral Bracelet is a powerful magical bangle that allows its wearer to see, commune, or otherwise manifest things using powers beyond the Material Plane. The metal and glyphs of each bracelet are related to the kind of power that it holds. You can pull the bracelet off and hold it in the palm of your hand as a Magic action. When you do, the bracelet unfurls to reveal the four inner rings collapsed within it, transforming the bracelet into an astronomical sphere. While the bracelet is transformed in this way, its inner rings slowly spin on their own. The bracelet has 10 charges, which are only usable in its sphere form. It regains 2d4 + 2 expended charges daily at dawn. If you expend its last charge, the sphere's spinning rings magically fold up again into the wearable bracelet. You can fold the rings back into place early as a Magic action. Each kind of Astral Bracelet has a different list of spells that can be cast from it. If a spell cast in this way normally requires a Material component with a cost of 100+ GP, that component is still required when casting the spell. While holding the bracelet in its sphere form, you can expend 1 or more charges to cast one of the corresponding spells from it: Comprehend Languages (1 charge), Detect Magic (1 charge), Dispel Magic (3 charges), Identify (1 charge), Legend Lore (5 charges), Locate Creature (4 charges), Locate Object (2 charges), or Sending (3 charges).","is_wondrous 1, extra_damage_multiplier 1","https://5e.tools/items.html#astral%20bracelet%20of%20knowledge_24griffonssaddlebag1"
"Axe Beak","Forgotten Realms: Heroes of Faerûn","Mount or Vehicle (Land)","Mundane","No","50 gp","40 gp / 50 gp / 60 gp","Official","floor-tripwire","Use the **Axe Beak** stat block.","extra_damage_multiplier 1","https://5e.tools/items.html#axe%20beak_frhof"
