name,source,old,new,pct,bucket,evidence
Stonebane Club,Frontiers of Eberron: Quickstone,1651.76,4465.1,170.32,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Handaxe,Frontiers of Eberron: Quickstone,1651.76,4465.1,170.32,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Javelin,Frontiers of Eberron: Quickstone,1651.76,4465.1,170.32,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Light Hammer,Frontiers of Eberron: Quickstone,1651.76,4465.1,170.32,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Shortsword,Frontiers of Eberron: Quickstone,1651.76,4465.1,170.32,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Sickle,Frontiers of Eberron: Quickstone,1651.76,4465.1,170.32,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Scimitar,Frontiers of Eberron: Quickstone,1666.21,4499.21,170.03,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Spear,Frontiers of Eberron: Quickstone,1666.21,4499.21,170.03,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Whip,Frontiers of Eberron: Quickstone,1666.21,4499.21,170.03,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Mace,Frontiers of Eberron: Quickstone,1676.46,4523.4,169.82,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Quarterstaff,Frontiers of Eberron: Quickstone,1676.46,4523.4,169.82,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Flail,Frontiers of Eberron: Quickstone,1703.25,4586.66,169.29,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Rapier,Frontiers of Eberron: Quickstone,1703.25,4586.66,169.29,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane War Pick,Frontiers of Eberron: Quickstone,1703.25,4586.66,169.29,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Slumbering Dragon's Wrath Cavalry Flail,Fizban's Treasury of Dragons,911.25,2452.29,169.11,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Longsword,Frontiers of Eberron: Quickstone,1717.69,4620.76,169.01,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Marid Conch,Call from the Deep,10437.09,28075.93,169.0,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Battleaxe,Frontiers of Eberron: Quickstone,1727.94,4644.96,168.81,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Morningstar,Frontiers of Eberron: Quickstone,1727.94,4644.96,168.81,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Trident,Frontiers of Eberron: Quickstone,1727.94,4644.96,168.81,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Warhammer,Frontiers of Eberron: Quickstone,1735.89,4663.73,168.67,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Glaive,Frontiers of Eberron: Quickstone,1742.38,4679.06,168.54,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Halberd,Frontiers of Eberron: Quickstone,1742.38,4679.06,168.54,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Lance,Frontiers of Eberron: Quickstone,1742.38,4679.06,168.54,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Greatclub,Frontiers of Eberron: Quickstone,1760.58,4722.03,168.21,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Pike,Frontiers of Eberron: Quickstone,1781.52,4771.47,167.83,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Greatsword,Frontiers of Eberron: Quickstone,1793.87,4800.62,167.61,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Greataxe,Frontiers of Eberron: Quickstone,1799.36,4813.59,167.52,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Maul,Frontiers of Eberron: Quickstone,1812.06,4843.59,167.3,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Masks of the Sacred Beasts (Crocodile),The Griffon's Saddlebag: Book Two,152.59,397.65,160.6,intended-913/q7b,name pattern Masks of the Sacred Beasts
Sunfeather Shroud (uncommon),Heliana's Guide to Monster Hunting,958.07,2493.54,160.27,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Medusan Signet,The Griffon's Saddlebag: Book Two,916.66,2342.24,155.52,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Snugglebeast (Unicorn),The Griffon's Saddlebag: Book One,802.87,2039.18,153.99,intended-913/q7b,name pattern Snugglebeast
Mace of the Pumpkin King,The Griffon's Saddlebag: Book Two,1008.84,2465.49,144.39,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
+3 Adamantine Repeater Needler,Call from the Deep,1000.0,2401.01,140.1,intended-913/q7b,family-min weapon_bonus=3 type=R
Mantle of the Lightbender,"Flee, Mortals! The MCDM Monster Book",958.07,2280.52,138.03,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Silver Eagle Studded Cuirass,The Griffon's Saddlebag: Book Two,1090.63,2394.33,119.54,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Bane Side-handle Baton,Exploring Eberron (2024),7818.13,16356.2,109.21,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Elite Rapier,Exploring Eberron (2024),8126.1,16938.53,108.45,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Sabre,Exploring Eberron (2024),8126.1,16938.53,108.45,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Cavalry Flail,Exploring Eberron (2024),8212.5,17101.91,108.24,intended-913/q7b,family-min weapon_bonus=1 type=M
Mudslick Tower,Phandelver and Below: The Shattered Obelisk,10117.92,21057.69,108.12,intended-913/q7b,spell_battery_max_level=8
Massive Cluster,Monsters of Drakkenheim,5251.0,1.0,99.98,floor-tripwire,rarity floor 1 gp
Lilypad Tonic,The Crooked Moon,2883.54,82.33,97.14,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Volcanic Boots,The Griffon's Saddlebag: Book One,5967.61,11756.84,97.01,intended-913/q7b,grenade-control attached_spells={'daily': {'1': ['hold monster']}}
Couatl Herald's Scales,The Griffon's Saddlebag: Book One,2879.8,5658.54,96.49,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Seven Cryptical Books of Hsan,Cthulhu by Torchlight,23602.43,848.68,96.4,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Iron Mind,Obojima: Tales from the Tall Grass,77.66,152.33,96.15,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Living Loot Satchel,Acquisitions Incorporated,16750.0,750.0,95.52,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Saint Vitruvio's Phylactery,Dungeons of Drakkenheim,43003.67,3149.41,92.68,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonky's ring,Candlekeep Mysteries,12828.33,940.46,92.67,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Wrath Maul,Frontiers of Eberron: Quickstone,1170.26,2252.69,92.49,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Xibalban Blade,The Griffon's Saddlebag: Book Two,22241.03,1694.64,92.38,intended-913/q7b,family-min weapon_bonus=1 type=M
Whisper Jar,Acquisitions Incorporated,8775.0,675.0,92.31,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Polearm,Frontiers of Eberron: Quickstone,1162.31,2233.92,92.2,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Wrath Axe,Frontiers of Eberron: Quickstone,1162.31,2233.92,92.2,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Military Fork,Frontiers of Eberron: Quickstone,1147.86,2199.82,91.65,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Vial of Stardust,Waterdeep: Dungeon of the Mad Mage,9632.71,813.89,91.55,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Claymore,Frontiers of Eberron: Quickstone,1143.11,2188.59,91.46,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Oloore Root Teabag,Tal'Dorei Campaign Setting Reborn,8679.44,742.5,91.45,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Knightly Lance,Frontiers of Eberron: Quickstone,1137.62,2175.62,91.24,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Book of Dzyan,Cthulhu by Torchlight,11458.57,1094.72,90.45,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
New Life,Obojima: Tales from the Tall Grass,1661.48,3162.27,90.33,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stormrider Boots,Tal'Dorei Campaign Setting Reborn,3533.47,6715.26,90.05,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Guardian Poleaxe,Frontiers of Eberron: Quickstone,1100.58,2088.17,89.73,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Steel Jaws,Frontiers of Eberron: Quickstone,1098.48,2083.22,89.65,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Daff's Wonderful Draught,Frontiers of Eberron: Quickstone,3026.02,337.12,88.86,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Ivana's Whisper,Van Richten's Guide to Ravenloft,6027.71,708.89,88.24,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Cavalry Flail,Frontiers of Eberron: Quickstone,1061.44,1995.76,88.02,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Cavalry Hammer,Frontiers of Eberron: Quickstone,1061.44,1995.76,88.02,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Cavalry Pick,Frontiers of Eberron: Quickstone,1061.44,1995.76,88.02,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Knightly Sword,Frontiers of Eberron: Quickstone,1061.44,1995.76,88.02,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Bane Wrath Maul,Exploring Eberron (2024),8863.44,16645.25,87.8,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Polearm,Exploring Eberron (2024),8815.89,16555.34,87.79,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Wrath Axe,Exploring Eberron (2024),8815.89,16555.34,87.79,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Maul,Exploring Eberron (2024),8777.04,16481.87,87.78,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Military Fork,Exploring Eberron (2024),8729.48,16391.96,87.78,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Claymore,Exploring Eberron (2024),8701.03,16338.15,87.77,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Greataxe,Exploring Eberron (2024),8701.03,16338.15,87.77,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Greatsword,Exploring Eberron (2024),8668.18,16276.04,87.77,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Knightly Lance,Exploring Eberron (2024),8668.18,16276.04,87.77,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Pike,Exploring Eberron (2024),8594.32,16136.39,87.76,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Greatclub,Exploring Eberron (2024),8469.07,15899.54,87.74,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Guardian Poleaxe,Exploring Eberron (2024),8446.61,15857.09,87.73,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Steel Jaws,Exploring Eberron (2024),8434.06,15833.36,87.73,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Glaive,Exploring Eberron (2024),8360.21,15693.71,87.72,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Halberd,Exploring Eberron (2024),8360.21,15693.71,87.72,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Lance,Exploring Eberron (2024),8360.21,15693.71,87.72,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Warhammer,Exploring Eberron (2024),8321.36,15620.24,87.71,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Battleaxe,Exploring Eberron (2024),8273.8,15530.33,87.7,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Morningstar,Exploring Eberron (2024),8273.8,15530.33,87.7,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Trident,Exploring Eberron (2024),8273.8,15530.33,87.7,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Cavalry Hammer,Exploring Eberron (2024),8212.5,15414.41,87.69,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Cavalry Pick,Exploring Eberron (2024),8212.5,15414.41,87.69,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Knightly Sword,Exploring Eberron (2024),8212.5,15414.41,87.69,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Longsword,Exploring Eberron (2024),8212.5,15414.41,87.69,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Flail,Exploring Eberron (2024),8126.1,15251.03,87.68,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Rapier,Exploring Eberron (2024),8126.1,15251.03,87.68,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane War Pick,Exploring Eberron (2024),8126.1,15251.03,87.68,intended-913/q7b,family-min weapon_bonus=1 type=M
"Bane Fighting Chain, Brutal",Exploring Eberron (2024),8052.24,15111.38,87.67,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Sheathed Staff,Exploring Eberron (2024),8052.24,15111.38,87.67,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Catchpole,Exploring Eberron (2024),8013.39,15037.91,87.66,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Double Blade,Exploring Eberron (2024),8013.39,15037.91,87.66,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Gladiator Net,Exploring Eberron (2024),8013.39,15037.91,87.66,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Double Spear,Exploring Eberron (2024),7965.84,14948.0,87.65,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Mace,Exploring Eberron (2024),7965.84,14948.0,87.65,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Quarterstaff,Exploring Eberron (2024),7965.84,14948.0,87.65,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Fighting Chain,Exploring Eberron (2024),7904.53,14832.08,87.64,intended-913/q7b,family-min weapon_bonus=1 type=M
"Bane Fighting Chain, Hook",Exploring Eberron (2024),7904.53,14832.08,87.64,intended-913/q7b,family-min weapon_bonus=1 type=M
"Bane Fighting Chain, Sickle",Exploring Eberron (2024),7904.53,14832.08,87.64,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Punch Knife,Exploring Eberron (2024),7904.53,14832.08,87.64,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Scimitar,Exploring Eberron (2024),7904.53,14832.08,87.64,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Spear,Exploring Eberron (2024),7904.53,14832.08,87.64,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Whip,Exploring Eberron (2024),7904.53,14832.08,87.64,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Club,Exploring Eberron (2024),7818.13,14668.7,87.62,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Hand Claws,Exploring Eberron (2024),7818.13,14668.7,87.62,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Handaxe,Exploring Eberron (2024),7818.13,14668.7,87.62,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Javelin,Exploring Eberron (2024),7818.13,14668.7,87.62,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Light Hammer,Exploring Eberron (2024),7818.13,14668.7,87.62,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Returning Club,Exploring Eberron (2024),7818.13,14668.7,87.62,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Shortsword,Exploring Eberron (2024),7818.13,14668.7,87.62,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Sickle,Exploring Eberron (2024),7818.13,14668.7,87.62,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Brass Knuckles,Exploring Eberron (2024),7670.42,14389.4,87.6,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Chakram,Exploring Eberron (2024),7670.42,14389.4,87.6,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Dagger,Exploring Eberron (2024),7670.42,14389.4,87.6,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Parrying Dagger,Exploring Eberron (2024),7670.42,14389.4,87.6,intended-913/q7b,family-min weapon_bonus=1 type=M
Bane Punching Dagger,Exploring Eberron (2024),7670.42,14389.4,87.6,intended-913/q7b,family-min weapon_bonus=1 type=M
Stonebane Elite Rapier,Frontiers of Eberron: Quickstone,1047.0,1961.66,87.36,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Sabre,Frontiers of Eberron: Quickstone,1047.0,1961.66,87.36,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
The Shield of Sacred Flame,Dungeons of Drakkenheim,37129.0,4868.32,86.89,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
"Stonebane Fighting Chain, Brutal",Frontiers of Eberron: Quickstone,1034.65,1932.51,86.78,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Sheathed Staff,Frontiers of Eberron: Quickstone,1034.65,1932.51,86.78,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Catchpole,Frontiers of Eberron: Quickstone,1028.16,1917.17,86.47,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Double Blade,Frontiers of Eberron: Quickstone,1028.16,1917.17,86.47,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Gladiator Net,Frontiers of Eberron: Quickstone,1028.16,1917.17,86.47,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Double Spear,Frontiers of Eberron: Quickstone,1020.21,1898.4,86.08,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Fighting Chain,Frontiers of Eberron: Quickstone,1009.96,1874.21,85.57,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
"Stonebane Fighting Chain, Hook",Frontiers of Eberron: Quickstone,1009.96,1874.21,85.57,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
"Stonebane Fighting Chain, Sickle",Frontiers of Eberron: Quickstone,1009.96,1874.21,85.57,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Punch Knife,Frontiers of Eberron: Quickstone,1009.96,1874.21,85.57,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Ironshod Trotters,The Griffon's Saddlebag: Book One,6120.13,903.59,85.24,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Woodcutter's Axe,The Wild Beyond the Witchlight,5455.5,826.32,84.85,intended-913/q7b,family-min weapon_bonus=1 type=M
Stonebane Hand Claws,Frontiers of Eberron: Quickstone,995.51,1840.1,84.84,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Returning Club,Frontiers of Eberron: Quickstone,995.51,1840.1,84.84,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
Stonebane Side-handle Baton,Frontiers of Eberron: Quickstone,995.51,1840.1,84.84,ml-variance,no wave1/stealth/floor/match signature → ML retrain / variant-stat / rule-blend variance
