name,source,rarity,type,official_price_gp,req_attune,url,alias,req_attune_class,weapon_bonus,weapon_attack_bonus,weapon_damage_bonus,ac_bonus,saving_throw_bonus,ability_check_bonus,proficiency_bonus_mod,spell_attack_bonus,spell_save_dc_bonus,spell_damage_bonus,bonus_saving_throw_concentration,damage_resistances,damage_immunities,damage_vulnerabilities,condition_immunities,spell_scroll_level,attached_spells,charges,recharge,recharge_amount,speed_mods,grants_language,grants_proficiency,is_sentient,is_cursed,is_tattoo,is_wondrous,is_focus,is_poison,is_firearm,reload,armor_ac,armor_strength_req,vehicle_speed,vehicle_ac,vehicle_hp,vehicle_crew,vehicle_cargo_capacity,is_ammunition,is_shield,stealth_penalty,strength_req,crit_threshold,item_tier,ability_score_mods,weapon_properties,item_type_code,is_generic_variant,material,spell_battery_max_level,extra_damage_avg,extra_damage_dice,extra_damage_condition,extra_damage_condition_detail,extra_damage_multiplier,minor_beneficial,major_beneficial,minor_detrimental,major_detrimental,has_fixed_beneficial,has_fixed_detrimental,moonblade_properties,staff_forgotten_one_beneficial,staff_forgotten_one_detrimental,flight_full,flight_limited,darkvision_feet,truesight,blindsight,tremorsense,teleportation,invisibility_atwill,healing_daily_hp,healing_consumable_avg,healing_permanent_hp,tome_manual_boost,concentration_free,crit_immunity,wish_effect,spell_absorption,stealth_advantage,legendary_resistance,swim_speed,climb_speed,burrow_speed,save_advantage,save_advantage_tiers,save_advantage_broad,save_advantage_category,save_advantage_situational,condition_immunity_prose,language_known,unarmed_strike_bonus,unarmed_strike_damage,spell_casting_abilities,curse_effects,environmental_breathing,water_breathing,immune_to_disease,death_save_advantage,conditional_save_advantage,check_advantage,check_disadvantage,save_disadvantage,is_focus_prose,save_dc,temp_hp_avg,temp_hp_frequency,hp_max_flat,hp_max_per_level,initiative_bonus,initiative_advantage,extra_damage_priced_avg,normalized_name,dsa_price,msrp_price,dmpg_price,amalgamated_price,price_sources,price_confidence,power_score,defensive_score,spell_complexity,interaction_weapon_damage,interaction_flight_invisibility,rule_price,price_source,has_reference_source,criteria_coverage,guide_spread,price_authority,generic_parent,variant_base_price,variant_adjustment,variant_price,variant_adjusted_price,ml_price,price_low,price_high,confidence,final_price,pre_anchor_final_price,official_anchor_tier,official_anchor_ratio,official_anchor_delta
Adamantine Paper Cartridge Bullet,XGE,uncommon,A|XPHB,,none,https://5e.tools/items.html#adamantine%20paper%20cartridge%20bullet_xge,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,True,False,False,,,minor,[],[],A|XPHB,False,adamantine,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,adamantine paper cartridge bullet,,,,,,none,,,,0.0,0.0,312.5,rule,False,1,,rule,Adamantine Ammunition,278.84615384615387,-0.0880456295278405,271.48079829911336,,337.5989,253.69984436035156,2090.92041015625,Low,312.5,312.5,no_official_price,,0.0
Adamantine Shell,XGE,uncommon,A|XPHB,,none,https://5e.tools/items.html#adamantine%20shell_xge,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,True,False,False,,,minor,[],[],A|XPHB,False,adamantine,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,adamantine shell,,,,,,none,,,,0.0,0.0,250.0,rule,False,1,,rule,Adamantine Ammunition,278.84615384615387,0.0,278.84615384615387,,337.5989,250.0,2090.92041015625,Low,250.0,250.0,no_official_price,,0.0
Adamantine Shot,XGE,uncommon,A|XPHB,,none,https://5e.tools/items.html#adamantine%20shot_xge,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,True,False,False,,,minor,[],[],A|XPHB,False,adamantine,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,adamantine shot,,,,,,none,,,,0.0,0.0,250.0,rule,False,1,,rule,Adamantine Ammunition,278.84615384615387,0.0624693683041499,284.0719567715972,,337.5989,250.0,2090.92041015625,Low,250.0,250.0,no_official_price,,0.0
Adamantine Sling Bullet,XGE,uncommon,A|XPHB,,none,https://5e.tools/items.html#adamantine%20sling%20bullet_xge,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,True,False,False,,,minor,[],[],A|XPHB,False,adamantine,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,adamantine sling bullet,,,,,,none,,,,0.0,0.0,312.5,rule,False,1,,rule,Adamantine Ammunition,278.84615384615387,-0.1505149978319905,266.25499537367006,,337.5989,253.69984436035156,2090.92041015625,Low,312.5,312.5,no_official_price,,0.0
Adjustable Stilts,WDH,mundane,OTH,,none,https://5e.tools/items.html#adjustable%20stilts_wdh,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],OTH,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,adjustable stilts,,,,,,mundane,,,,0.0,0.0,1.0,rule,False,0,,rule,,,,,,46.888676,1.0,4636.24365234375,Low,1.0,1.0,no_official_price,,0.0
Aerenal Trinket,ERLW,mundane,G,,none,https://5e.tools/items.html#aerenal%20trinket_erlw,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],G,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,aerenal trinket,,,,,,mundane,,,,0.0,0.0,1.0,rule,False,0,,rule,,,,,,46.888676,1.0,4636.24365234375,Low,1.0,1.0,no_official_price,,0.0
Airship,XPHB,mundane,AIR|XPHB,40000.0,none,https://5e.tools/items.html#airship_xphb,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,8.0,13.0,300.0,10.0,1.0,False,False,False,,,,[],[],AIR|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,airship,,,,,,mundane,,,,0.0,0.0,40000.0,official,True,0,,official,,,,,,46.888676,1.1589796543121338,40000.0,High,40000.0,40000.0,near_agreement_official_heavy,1.0,0.0
Alchemist's Doom,SCC,mundane,G,,none,https://5e.tools/items.html#alchemist's%20doom_scc,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],G,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,10.0,0.0,,0.0,0,0,False,0.0,alchemists doom,,,,,,mundane,,,,0.0,0.0,1.0,rule,False,0,,rule,,,,,,46.888676,1.0,4636.24365234375,Low,1.0,1.0,no_official_price,,0.0
Alchemist's Fire,XPHB,mundane,G|XPHB,50.0,none,https://5e.tools/items.html#alchemist's%20fire_xphb,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],G|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,8.0,0.0,,0.0,0,0,False,0.0,alchemists fire,,,,,,mundane,,,,0.0,0.0,50.0,official,True,0,,official,,,,,,46.888676,1.1589796543121338,4636.24365234375,High,50.0,50.0,near_agreement_official_heavy,1.0,0.0
Alchemist's Supplies,XPHB,mundane,AT|XPHB,50.0,none,https://5e.tools/items.html#alchemist's%20supplies_xphb,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],AT|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,15.0,0.0,,0.0,0,0,False,0.0,alchemists supplies,,,,,,mundane,,,,0.0,0.0,50.0,official,True,0,,official,,,,,,46.888676,1.1589796543121338,4636.24365234375,High,50.0,50.0,near_agreement_official_heavy,1.0,0.0
Ale (gallon),PHB,mundane,FD,0.2,none,https://5e.tools/items.html#ale%20(gallon)_phb,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],FD,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,ale gallon,,,,,,mundane,,,,0.0,0.0,0.2,official,True,0,,official,,,,,,46.888676,0.20000000000000004,4636.24365234375,High,0.20000000000000004,0.2,near_agreement_official_heavy,1.0,2.7755575615628914e-17
Ale (mug),XPHB,mundane,FD|XPHB,0.04,none,https://5e.tools/items.html#ale%20(mug)_xphb,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],FD|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,ale mug,,,,,,mundane,,,,0.0,0.0,0.04,official,True,0,,official,,,,,,46.888676,0.04,4636.24365234375,High,0.04,0.04,near_agreement_official_heavy,1.0,0.0
Alexandrite,XDMG,mundane,$G|XDMG,500.0,none,https://5e.tools/items.html#alexandrite_xdmg,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],$G|XDMG,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,alexandrite,,,,,,mundane,,,,0.0,0.0,500.0,official,True,0,,official,,,,,,46.888676,1.1589796543121338,4636.24365234375,High,500.0,500.0,exact_commodity_official_price,1.0,0.0
Amber,XDMG,mundane,$G|XDMG,100.0,none,https://5e.tools/items.html#amber_xdmg,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],$G|XDMG,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,amber,,,,,,mundane,,,,0.0,0.0,100.0,official,True,0,,official,,,,,,46.888676,1.1589796543121338,4636.24365234375,High,100.0,100.0,exact_commodity_official_price,1.0,0.0
Amber,ObojimaTallGrass,common,Ingred,,none,https://5e.tools/items.html#amber_obojimatallgrass,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],Ingred,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,amber,,,,,,none,,,,0.0,0.0,100.0,rule,False,0,,rule,,,,,,122.146774,99.36253356933594,465.1726379394531,Low,114.39540328979493,114.39540328979493,no_official_price,,0.0
Amethyst,XDMG,mundane,$G|XDMG,100.0,none,https://5e.tools/items.html#amethyst_xdmg,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],$G|XDMG,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,amethyst,,,,,,mundane,,,,0.0,0.0,100.0,official,True,0,,official,,,,,,46.888676,1.1589796543121338,4636.24365234375,High,100.0,100.0,exact_commodity_official_price,1.0,0.0
Amulet,XPHB,mundane,SCF|XPHB,5.0,none,https://5e.tools/items.html#amulet_xphb,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,True,False,False,,,,,,,,,False,False,False,,,,[],[],SCF|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],True,,0.0,,0.0,0,0,False,0.0,amulet,,,,,,mundane,,,,0.0,0.0,5.0,official,True,0,,official,,,,,,57.44107,1.1589796543121338,4636.24365234375,High,5.0,5.0,near_agreement_official_heavy,1.0,0.0
Angel's Bane,CallfromtheDeep,mundane,SHP,15000.0,none,https://5e.tools/items.html#angel's%20bane_callfromthedeep,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,2.0,15.0,200.0,15.0,100.0,False,False,False,,,,[],[],SHP,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,angels bane,,,,,,mundane,,,,0.0,0.0,15000.0,official,True,0,,official,,,,,,46.888676,1.1589796543121338,15000.0,High,15000.0,15000.0,near_agreement_official_heavy,1.0,0.0
Antitoxin,XPHB,mundane,G|XPHB,50.0,none,https://5e.tools/items.html#antitoxin_xphb,,,,,,,,,,,,,,[],[],[],[],,[],,,,{},False,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,,,,[],[],G|XPHB,False,,,0.0,,,,1.0,0,0,0,0,False,False,0.0,0,0,False,False,0,False,False,False,False,False,0,0.0,0,False,False,False,False,False,False,False,False,False,False,[],[],0,0,0,[],[],,,[],[],False,False,False,False,[],[],[],[],False,,0.0,,0.0,0,0,False,0.0,antitoxin,,,,,,mundane,,,,0.0,0.0,50.0,official,True,0,,official,,,,,,46.888676,1.1589796543121338,4636.24365234375,High,50.0,50.0,near_agreement_official_heavy,1.0,0.0
